gs_mouse	weeks	tissue	excelcol	excelrow	raw	up_mouse	up_human	expmean	expsd	zscore	other.x	zmean	tiss	gen	other.y	pval_t	pval_w	fc_med	fc_mean
Betaact	4w	WT BAT	P	4	37.977078582980504	P60710	P60709	59.74995213479402	40.847730176991405	-0.5330252980391473	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	6	45.0345672733303	P60710	P60709	59.74995213479402	40.847730176991405	-0.3602497567845902	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	8	64.8059881012143	P60710	P60709	59.74995213479402	40.847730176991405	0.12377764797487388	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	10	33.0018417035926	P60710	P60709	59.74995213479402	40.847730176991405	-0.654824890276719	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	12	52.3356066137816	P60710	P60709	59.74995213479402	40.847730176991405	-0.18151181201223154	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	14	68.2109184764938	P60710	P60709	59.74995213479402	40.847730176991405	0.20713430844354846	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	87	42.915905475595	P60710	P60709	59.74995213479402	40.847730176991405	-0.4121170646755119	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	89	48.4353297641418	P60710	P60709	59.74995213479402	40.847730176991405	-0.2769951309809986	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	91	45.2439452217519	P60710	P60709	59.74995213479402	40.847730176991405	-0.3551239407964221	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	93	45.3503560005114	P60710	P60709	59.74995213479402	40.847730176991405	-0.3525188810220253	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	95	44.7005329878191	P60710	P60709	59.74995213479402	40.847730176991405	-0.3684273050611736	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT BAT	P	97	56.6983613576844	P60710	P60709	59.74995213479402	40.847730176991405	-0.07470649565807491	WT BAT	-0.26988238490737265	BAT	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	4	40.3002947446304	P60710	P60709	59.74995213479402	40.847730176991405	-0.47615026112562725	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	6	120.719709570044	P60710	P60709	59.74995213479402	40.847730176991405	1.4926106584397891	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	8	76.4834327475434	P60710	P60709	59.74995213479402	40.847730176991405	0.40965509075397705	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	10	70.2887836479298	P60710	P60709	59.74995213479402	40.847730176991405	0.25800286741690404	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	12	43.9873773259324	P60710	P60709	59.74995213479402	40.847730176991405	-0.3858861861005026	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	14	60.5201154651626	P60710	P60709	59.74995213479402	40.847730176991405	0.01885449514652324	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
Betaact	4w	WT ScW	R	87	61.4584656753273	P60710	P60709	59.74995213479402	40.847730176991405	0.04182640095619417	WT ScW	0.21367390093459032	ScW	WT	NA	NA	NA	NA	NA
