phos	tf	splen
P06401	O00327	3.0
P06401	P15172	2.0
P06401	P98177	2.0
P06401	P01100	2.0
P06401	Q00613	2.0
P06401	O75469	2.0
P06401	P10071	3.0
P06401	P10242	2.0
P06401	Q13562	3.0
P06401	P18846	3.0
P06401	O15350	2.0
P06401	Q15796	2.0
P06401	P18847	3.0
P06401	Q99814	4.0
P06401	P10275	2.0
P06401	P27540	3.0
P06401	P16220	3.0
P06401	Q13127	7.0
P06401	P19838	2.0
P06401	O94776	2.0
P06401	Q08945	3.0
P06401	P17535	2.0
P06401	Q15329	3.0
P06401	Q9UGL1	3.0
P06401	O43474	2.0
P06401	Q9UJU2	3.0
P06401	P15336	2.0
P06401	P42229	2.0
P06401	Q5VTD9	4.0
P06401	P31269	4.0
P06401	Q15797	2.0
P06401	O75626	3.0
P06401	P26367	3.0
P06401	P15407	3.0
P06401	P20823	3.0
P06401	P22736	2.0
P06401	Q06546	2.0
P06401	P15923	2.0
P06401	P52630	3.0
P06401	P23771	2.0
P06401	O75461	3.0
P06401	P10070	3.0
P06401	Q9UL17	3.0
P06401	P20226	3.0
P06401	P04150	2.0
P06401	O75376	3.0
P06401	P17676	2.0
P06401	O94916	3.0
P06401	Q08050	2.0
P06401	P36402	3.0
P06401	Q9UKL0	6.0
P06401	P67809	2.0
P06401	P32243	4.0
P06401	Q02535	2.0
P06401	Q16656	3.0
P06401	Q01196	2.0
P06401	P10276	2.0
P06401	Q15788	2.0
P06401	O75030	2.0
P06401	Q00653	3.0
P06401	Q12778	1.0
P06401	Q16254	2.0
P06401	Q02548	inf
P06401	Q9BQA5	3.0
P06401	P35398	2.0
P06401	P11831	3.0
P06401	P18146	3.0
P06401	O14867	inf
P06401	Q92786	inf
P06401	Q9NQB0	3.0
P06401	P84022	2.0
P06401	Q8TAQ2	3.0
P06401	P18848	3.0
P06401	Q14653	3.0
P06401	Q9UIS9	inf
P06401	P37231	2.0
P06401	O00716	3.0
P06401	Q13761	3.0
P06401	Q14469	3.0
P06401	P17861	2.0
P06401	P49116	4.0
P06401	O43524	2.0
P06401	P40763	2.0
P06401	P42224	2.0
P06401	Q96AV8	inf
P06401	P15976	2.0
P06401	P23246	3.0
P06401	Q01094	2.0
P06401	Q06710	3.0
P06401	P01106	2.0
P06401	Q9Y6Q9	2.0
P06401	P17275	3.0
P06401	Q92985	3.0
P06401	P48431	3.0
P06401	Q9UBC3	5.0
P06401	Q04206	2.0
P06401	P14859	2.0
P06401	O60381	3.0
P06401	Q14526	3.0
P06401	P11473	3.0
P06401	P20749	2.0
P06401	Q92922	3.0
P06401	P17947	3.0
P06401	P22415	3.0
P06401	Q13485	2.0
P06401	Q9H3D4	2.0
P06401	Q14209	3.0
P06401	Q99856	3.0
P06401	Q04864	3.0
P06401	Q12772	2.0
P06401	P55347	inf
P06401	P04637	2.0
P06401	Q00978	3.0
P06401	Q13469	3.0
P06401	O43889	inf
P06401	P10827	3.0
P06401	Q9Y5J3	4.0
P06401	P14316	3.0
P06401	P17542	2.0
P06401	Q15306	5.0
P06401	P78545	3.0
P06401	Q9NPC7	4.0
P06401	P10826	3.0
P06401	Q9Y5Q3	3.0
P06401	O95863	2.0
P06401	O95644	2.0
P06401	Q13133	3.0
P06401	Q96RI1	3.0
P06401	Q03181	3.0
P06401	P17544	3.0
P06401	P15408	3.0
P06401	P15884	3.0
P06401	Q16621	3.0
P06401	P14921	2.0
P06401	P08235	3.0
P06401	Q13887	3.0
P06401	P55055	3.0
P06401	P32519	3.0
P06401	P19419	2.0
P06401	P23769	2.0
P06401	P28324	2.0
P06401	Q05215	3.0
P06401	Q92731	2.0
P06401	P17028	4.0
P06401	Q14934	2.0
P06401	P41235	3.0
P06401	P35869	3.0
P06401	P24468	3.0
P06401	P13631	2.0
P06401	P53567	3.0
P06401	P28702	3.0
P06401	Q14186	3.0
P06401	O00482	3.0
P06401	P49716	inf
P06401	Q02080	2.0
P06401	Q03060	3.0
P06401	Q16650	4.0
P06401	Q9ULX9	inf
P06401	Q05066	5.0
P06401	P22670	3.0
P06401	Q92481	inf
P06401	O00470	inf
P06401	Q02446	inf
P06401	Q06413	2.0
P06401	Q01167	2.0
P06401	P50539	4.0
P06401	O60315	4.0
P06401	P17480	2.0
P06401	O75364	inf
P06401	Q99626	2.0
P06401	Q12837	inf
P06401	O15266	3.0
P06401	P10588	3.0
P06401	P50549	3.0
P06401	P50458	inf
P06401	Q9Y261	3.0
P06401	Q01664	inf
P06401	Q01860	2.0
P06401	P48443	3.0
P06401	P10243	3.0
P06401	Q13351	3.0
P06401	P10589	4.0
P06401	P15036	3.0
P06401	Q15562	4.0
P06401	P35680	4.0
P06401	Q9UH73	inf
P06401	P55317	3.0
P06401	P50553	5.0
P06401	Q15561	4.0
P06401	Q92908	2.0
P06401	P40426	inf
P06401	Q9Y2Y9	inf
P06401	P56693	2.0
P06401	P48382	3.0
P06401	Q70SY1	inf
P06401	P56270	2.0
P06401	Q92570	3.0
P06401	P09629	3.0
P06401	P09086	inf
P06401	P28347	4.0
P06401	P08651	5.0
P06401	P58012	3.0
P06401	Q96BA8	inf
P06401	P37275	4.0
P06401	Q13952	3.0
P06401	Q13422	3.0
P06401	P19544	4.0
P06401	P05549	3.0
P06401	Q01892	2.0
P06401	Q12968	3.0
P06401	O43623	3.0
P06401	Q15853	3.0
P06401	O95625	3.0
P06401	P52945	2.0
P06401	Q9UKY1	2.0
P06401	O14497	2.0
P06401	Q9H9S0	3.0
P06401	P57682	4.0
P06401	Q03014	3.0
P06401	P11308	4.0
P06401	P11474	3.0
P06401	Q12952	5.0
P06401	Q00577	4.0
P06401	P43694	2.0
P06401	P40425	4.0
P06401	P12980	2.0
P06401	P20265	4.0
P06401	Q9BYV9	3.0
Q13541	Q07869	4.0
Q13541	Q13330	4.0
Q13541	O15516	4.0
Q13541	P41182	4.0
Q13541	P49711	4.0
Q13541	P08047	3.0
Q13541	Q9Y618	3.0
Q13541	O75444	4.0
Q13541	Q03164	4.0
Q13541	O60675	4.0
Q13541	P35638	4.0
Q13541	Q02078	3.0
Q13541	P36956	3.0
Q13541	Q02447	4.0
Q13541	Q16236	3.0
Q13541	P25208	4.0
Q13541	Q99801	4.0
Q13541	P04198	2.0
Q13541	Q9UM63	4.0
Q13541	Q02962	4.0
Q13541	P51692	3.0
Q13541	Q16665	2.0
Q13541	P26358	2.0
Q13541	P03372	3.0
Q13541	Q15596	4.0
Q13541	Q01543	4.0
Q13541	P61244	3.0
Q13541	Q15672	3.0
Q13541	P48436	3.0
Q13541	Q99583	4.0
Q13541	Q9Y5W3	inf
Q13541	Q06330	4.0
Q13541	Q99717	3.0
Q13541	Q13950	3.0
Q13541	P05412	3.0
Q13541	O15525	4.0
Q13541	O14770	inf
Q13541	P08151	3.0
Q13541	Q15233	4.0
Q13541	P23511	4.0
Q13541	P21675	4.0
Q13541	P19793	4.0
Q13541	Q13568	4.0
Q13541	P10914	3.0
Q13541	P25490	4.0
Q13541	Q99612	inf
Q13541	P10244	4.0
Q13541	P06401	4.0
Q13541	P49715	4.0
Q13541	P25963	3.0
Q13541	Q01201	3.0
Q13541	O00327	4.0
Q13541	P15172	4.0
Q13541	P98177	3.0
Q13541	P01100	3.0
Q13541	Q00613	3.0
Q13541	O75469	4.0
Q13541	P10071	4.0
Q13541	P10242	4.0
Q13541	Q13562	4.0
Q13541	P18846	3.0
Q13541	O15350	3.0
Q13541	Q15796	3.0
Q13541	P18847	4.0
Q13541	Q99814	4.0
Q13541	P10275	3.0
Q13541	P27540	3.0
Q13541	P16220	3.0
Q13541	Q13127	8.0
Q13541	P19838	3.0
Q13541	O94776	4.0
Q13541	Q08945	4.0
Q13541	P17535	4.0
Q13541	Q15329	5.0
Q13541	Q9UGL1	4.0
Q13541	O43474	3.0
Q13541	Q9UJU2	3.0
Q13541	P15336	3.0
Q13541	P42229	3.0
Q13541	Q5VTD9	5.0
Q13541	P31269	5.0
Q13541	Q15797	4.0
Q13541	O75626	3.0
Q13541	P26367	3.0
Q13541	P15407	4.0
Q13541	P20823	4.0
Q13541	P22736	3.0
Q13541	Q06546	4.0
Q13541	P15923	4.0
Q13541	P52630	3.0
Q13541	P23771	3.0
Q13541	O75461	4.0
Q13541	P10070	4.0
Q13541	Q9UL17	4.0
Q13541	P20226	3.0
Q13541	P04150	3.0
Q13541	O75376	3.0
Q13541	P17676	4.0
Q13541	O94916	4.0
Q13541	Q08050	4.0
Q13541	P36402	4.0
Q13541	Q9UKL0	7.0
Q13541	P67809	3.0
Q13541	P32243	4.0
Q13541	Q02535	4.0
Q13541	Q16656	3.0
Q13541	Q01196	4.0
Q13541	P10276	3.0
Q13541	Q15788	4.0
Q13541	O75030	4.0
Q13541	Q00653	3.0
Q13541	Q12778	3.0
Q13541	Q16254	4.0
Q13541	Q02548	inf
Q13541	Q9BQA5	5.0
Q13541	P35398	4.0
Q13541	P11831	3.0
Q13541	P18146	3.0
Q13541	O14867	inf
Q13541	Q92786	inf
Q13541	Q9NQB0	3.0
Q13541	P84022	2.0
Q13541	Q8TAQ2	3.0
Q13541	P18848	4.0
Q13541	Q14653	3.0
Q13541	Q9UIS9	inf
Q13541	P37231	4.0
Q13541	O00716	4.0
Q13541	Q13761	4.0
Q13541	Q14469	4.0
Q13541	P17861	4.0
Q13541	P49116	3.0
Q13541	O43524	3.0
Q13541	P40763	2.0
Q13541	P42224	2.0
Q13541	Q96AV8	inf
Q13541	P15976	3.0
Q13541	P23246	3.0
Q13541	Q01094	3.0
Q13541	Q06710	3.0
Q13541	P01106	2.0
Q13541	Q9Y6Q9	3.0
Q13541	P17275	3.0
Q13541	Q92985	3.0
Q13541	P48431	4.0
Q13541	Q9UBC3	4.0
Q13541	Q04206	3.0
Q13541	P14859	4.0
Q13541	O60381	4.0
Q13541	Q14526	4.0
Q13541	P11473	4.0
Q13541	P20749	4.0
Q13541	Q92922	3.0
Q13541	P17947	3.0
Q13541	P22415	4.0
Q13541	Q13485	2.0
Q13541	Q9H3D4	3.0
Q13541	Q14209	4.0
Q13541	Q99856	4.0
Q13541	Q04864	3.0
Q13541	Q12772	4.0
Q13541	P55347	inf
Q13541	P04637	3.0
Q13541	Q00978	3.0
Q13541	Q13469	4.0
Q13541	O43889	inf
Q13541	P10827	4.0
Q13541	Q9Y5J3	4.0
Q13541	P14316	3.0
Q13541	P17542	3.0
Q13541	Q15306	6.0
Q13541	P78545	4.0
Q13541	Q9NPC7	4.0
Q13541	P10826	5.0
Q13541	Q9Y5Q3	4.0
Q13541	O95863	4.0
Q13541	O95644	4.0
Q13541	Q13133	4.0
Q13541	Q96RI1	4.0
Q13541	Q03181	4.0
Q13541	P17544	4.0
Q13541	P15408	5.0
Q13541	P15884	4.0
Q13541	Q16621	4.0
Q13541	P14921	4.0
Q13541	P08235	4.0
Q13541	Q13887	3.0
Q13541	P55055	5.0
Q13541	P32519	4.0
Q13541	P19419	4.0
Q13541	P23769	3.0
Q13541	P28324	4.0
Q13541	Q05215	5.0
Q13541	Q92731	4.0
Q13541	P17028	3.0
Q13541	Q14934	3.0
Q13541	P41235	4.0
Q13541	P35869	4.0
Q13541	P24468	4.0
Q13541	P13631	4.0
Q13541	P53567	5.0
Q13541	P28702	4.0
Q13541	Q14186	4.0
Q13541	O00482	4.0
Q13541	P49716	inf
Q13541	Q02080	4.0
Q13541	Q03060	3.0
Q13541	Q16650	5.0
Q13541	Q9ULX9	inf
Q13541	Q05066	4.0
Q13541	P22670	4.0
Q13541	Q92481	inf
Q13541	O00470	inf
Q13541	Q02446	inf
Q13541	Q06413	3.0
Q13541	Q01167	4.0
Q13541	P50539	4.0
Q13541	O60315	5.0
Q13541	P17480	4.0
Q13541	O75364	inf
Q13541	Q99626	4.0
Q13541	Q12837	inf
Q13541	O15266	4.0
Q13541	P10588	4.0
Q13541	P50549	4.0
Q13541	P50458	inf
Q13541	Q9Y261	3.0
Q13541	Q01664	inf
Q13541	Q01860	3.0
Q13541	P48443	4.0
Q13541	P10243	4.0
Q13541	Q13351	4.0
Q13541	P10589	5.0
Q13541	P15036	4.0
Q13541	Q15562	4.0
Q13541	P35680	6.0
Q13541	Q9UH73	inf
Q13541	P55317	3.0
Q13541	P50553	5.0
Q13541	Q15561	4.0
Q13541	Q92908	4.0
Q13541	P40426	inf
Q13541	Q9Y2Y9	inf
Q13541	P56693	4.0
Q13541	P48382	5.0
Q13541	Q70SY1	inf
Q13541	P56270	4.0
Q13541	Q92570	4.0
Q13541	P09629	4.0
Q13541	P09086	inf
Q13541	P28347	4.0
Q13541	P08651	5.0
Q13541	P58012	4.0
Q13541	Q96BA8	inf
Q13541	P37275	5.0
Q13541	Q13952	5.0
Q13541	Q13422	4.0
Q13541	P19544	4.0
Q13541	P05549	4.0
Q13541	Q01892	4.0
Q13541	Q12968	3.0
Q13541	O43623	4.0
Q13541	Q15853	4.0
Q13541	O95625	4.0
Q13541	P52945	4.0
Q13541	Q9UKY1	3.0
Q13541	O14497	4.0
Q13541	Q9H9S0	4.0
Q13541	P57682	5.0
Q13541	Q03014	4.0
Q13541	P11308	4.0
Q13541	P11474	4.0
Q13541	Q12952	5.0
Q13541	Q00577	5.0
Q13541	P43694	4.0
Q13541	P40425	4.0
Q13541	P12980	4.0
Q13541	P20265	4.0
Q13541	Q9BYV9	3.0
P11274	Q07869	3.0
P11274	Q13330	3.0
P11274	O15516	3.0
P11274	P41182	2.0
P11274	P49711	4.0
P11274	P08047	3.0
P11274	Q9Y618	3.0
P11274	O75444	4.0
P11274	Q03164	3.0
P11274	O60675	4.0
P11274	P35638	3.0
P11274	Q02078	2.0
P11274	P36956	3.0
P11274	Q02447	3.0
P11274	Q16236	2.0
P11274	P25208	2.0
P11274	Q99801	3.0
P11274	P04198	3.0
P11274	Q9UM63	2.0
P11274	Q02962	3.0
P11274	P51692	2.0
P11274	Q16665	2.0
P11274	P26358	2.0
P11274	P03372	2.0
P11274	Q15596	3.0
P11274	Q01543	3.0
P11274	P61244	3.0
P11274	Q15672	3.0
P11274	P48436	3.0
P11274	Q99583	4.0
P11274	Q9Y5W3	inf
P11274	Q06330	3.0
P11274	Q99717	3.0
P11274	Q13950	3.0
P11274	P05412	2.0
P11274	O15525	3.0
P11274	O14770	inf
P11274	P08151	3.0
P11274	Q15233	3.0
P11274	P23511	2.0
P11274	P21675	2.0
P11274	P19793	2.0
P11274	Q13568	2.0
P11274	P10914	2.0
P11274	P25490	3.0
P11274	Q99612	inf
P11274	P10244	3.0
P11274	P06401	3.0
P11274	P49715	3.0
P11274	P25963	2.0
P11274	Q01201	3.0
P11274	O00327	4.0
P11274	P15172	2.0
P11274	P98177	3.0
P11274	P01100	3.0
P11274	Q00613	3.0
P11274	O75469	3.0
P11274	P10071	3.0
P11274	P10242	3.0
P11274	Q13562	3.0
P11274	P18846	3.0
P11274	O15350	2.0
P11274	Q15796	2.0
P11274	P18847	2.0
P11274	Q99814	3.0
P11274	P10275	2.0
P11274	P27540	3.0
P11274	P16220	3.0
P11274	Q13127	6.0
P11274	P19838	3.0
P11274	O94776	3.0
P11274	Q08945	4.0
P11274	P17535	3.0
P11274	Q15329	4.0
P11274	Q9UGL1	4.0
P11274	O43474	3.0
P11274	Q9UJU2	3.0
P11274	P15336	3.0
P11274	P42229	2.0
P11274	Q5VTD9	3.0
P11274	P31269	3.0
P11274	Q15797	2.0
P11274	O75626	2.0
P11274	P26367	3.0
P11274	P15407	3.0
P11274	P20823	2.0
P11274	P22736	3.0
P11274	Q06546	3.0
P11274	P15923	3.0
P11274	P52630	2.0
P11274	P23771	3.0
P11274	O75461	3.0
P11274	P10070	3.0
P11274	Q9UL17	2.0
P11274	P20226	3.0
P11274	P04150	3.0
P11274	O75376	3.0
P11274	P17676	2.0
P11274	O94916	2.0
P11274	Q08050	3.0
P11274	P36402	3.0
P11274	Q9UKL0	5.0
P11274	P67809	2.0
P11274	P32243	4.0
P11274	Q02535	3.0
P11274	Q16656	3.0
P11274	Q01196	3.0
P11274	P10276	2.0
P11274	Q15788	3.0
P11274	O75030	3.0
P11274	Q00653	2.0
P11274	Q12778	2.0
P11274	Q16254	2.0
P11274	Q02548	inf
P11274	Q9BQA5	4.0
P11274	P35398	3.0
P11274	P11831	2.0
P11274	P18146	2.0
P11274	O14867	inf
P11274	Q92786	inf
P11274	Q9NQB0	3.0
P11274	P84022	2.0
P11274	Q8TAQ2	3.0
P11274	P18848	3.0
P11274	Q14653	3.0
P11274	Q9UIS9	inf
P11274	P37231	2.0
P11274	O00716	3.0
P11274	Q13761	2.0
P11274	Q14469	2.0
P11274	P17861	3.0
P11274	P49116	3.0
P11274	O43524	2.0
P11274	P40763	2.0
P11274	P42224	2.0
P11274	Q96AV8	inf
P11274	P15976	3.0
P11274	P23246	2.0
P11274	Q01094	2.0
P11274	Q06710	3.0
P11274	P01106	2.0
P11274	Q9Y6Q9	2.0
P11274	P17275	2.0
P11274	Q92985	2.0
P11274	P48431	3.0
P11274	Q9UBC3	5.0
P11274	Q04206	2.0
P11274	P14859	3.0
P11274	O60381	3.0
P11274	Q14526	2.0
P11274	P11473	2.0
P11274	P20749	3.0
P11274	Q92922	3.0
P11274	P17947	2.0
P11274	P22415	3.0
P11274	Q13485	2.0
P11274	Q9H3D4	2.0
P11274	Q14209	3.0
P11274	Q99856	2.0
P11274	Q04864	3.0
P11274	Q12772	3.0
P11274	P55347	inf
P11274	P04637	1.0
P11274	Q00978	3.0
P11274	Q13469	3.0
P11274	O43889	inf
P11274	P10827	3.0
P11274	Q9Y5J3	4.0
P11274	P14316	3.0
P11274	P17542	3.0
P11274	Q15306	4.0
P11274	P78545	3.0
P11274	Q9NPC7	4.0
P11274	P10826	3.0
P11274	Q9Y5Q3	4.0
P11274	O95863	2.0
P11274	O95644	3.0
P11274	Q13133	3.0
P11274	Q96RI1	3.0
P11274	Q03181	2.0
P11274	P17544	3.0
P11274	P15408	4.0
P11274	P15884	3.0
P11274	Q16621	3.0
P11274	P14921	2.0
P11274	P08235	4.0
P11274	Q13887	3.0
P11274	P55055	3.0
P11274	P32519	3.0
P11274	P19419	3.0
P11274	P23769	3.0
P11274	P28324	3.0
P11274	Q05215	4.0
P11274	Q92731	3.0
P11274	P17028	4.0
P11274	Q14934	3.0
P11274	P41235	2.0
P11274	P35869	3.0
P11274	P24468	3.0
P11274	P13631	3.0
P11274	P53567	4.0
P11274	P28702	3.0
P11274	Q14186	3.0
P11274	O00482	3.0
P11274	P49716	inf
P11274	Q02080	3.0
P11274	Q03060	3.0
P11274	Q16650	3.0
P11274	Q9ULX9	inf
P11274	Q05066	4.0
P11274	P22670	2.0
P11274	Q92481	inf
P11274	O00470	inf
P11274	Q02446	inf
P11274	Q06413	3.0
P11274	Q01167	3.0
P11274	P50539	4.0
P11274	O60315	4.0
P11274	P17480	3.0
P11274	O75364	inf
P11274	Q99626	3.0
P11274	Q12837	inf
P11274	O15266	4.0
P11274	P10588	3.0
P11274	P50549	3.0
P11274	P50458	inf
P11274	Q9Y261	3.0
P11274	Q01664	inf
P11274	Q01860	3.0
P11274	P48443	3.0
P11274	P10243	4.0
P11274	Q13351	3.0
P11274	P10589	4.0
P11274	P15036	2.0
P11274	Q15562	3.0
P11274	P35680	5.0
P11274	Q9UH73	inf
P11274	P55317	3.0
P11274	P50553	4.0
P11274	Q15561	3.0
P11274	Q92908	3.0
P11274	P40426	inf
P11274	Q9Y2Y9	inf
P11274	P56693	3.0
P11274	P48382	4.0
P11274	Q70SY1	inf
P11274	P56270	3.0
P11274	Q92570	3.0
P11274	P09629	4.0
P11274	P09086	inf
P11274	P28347	3.0
P11274	P08651	5.0
P11274	P58012	3.0
P11274	Q96BA8	inf
P11274	P37275	4.0
P11274	Q13952	4.0
P11274	Q13422	3.0
P11274	P19544	3.0
P11274	P05549	3.0
P11274	Q01892	3.0
P11274	Q12968	3.0
P11274	O43623	4.0
P11274	Q15853	4.0
P11274	O95625	3.0
P11274	P52945	3.0
P11274	Q9UKY1	3.0
P11274	O14497	3.0
P11274	Q9H9S0	3.0
P11274	P57682	3.0
P11274	Q03014	4.0
P11274	P11308	4.0
P11274	P11474	3.0
P11274	Q12952	3.0
P11274	Q00577	3.0
P11274	P43694	3.0
P11274	P40425	4.0
P11274	P12980	3.0
P11274	P20265	3.0
P11274	Q9BYV9	3.0
Q13115	Q07869	2.0
Q13115	Q13330	2.0
Q13115	O15516	3.0
Q13115	P41182	2.0
Q13115	P49711	4.0
Q13115	P08047	2.0
Q13115	Q9Y618	3.0
Q13115	O75444	3.0
Q13115	Q03164	4.0
Q13115	O60675	4.0
Q13115	P35638	2.0
Q13115	Q02078	2.0
Q13115	P36956	2.0
Q13115	Q02447	2.0
Q13115	Q16236	2.0
Q13115	P25208	3.0
Q13115	Q99801	3.0
Q13115	P04198	3.0
Q13115	Q9UM63	3.0
Q13115	Q02962	2.0
Q13115	P51692	2.0
Q13115	Q16665	2.0
Q13115	P26358	3.0
Q13115	P03372	2.0
Q13115	Q15596	2.0
Q13115	Q01543	3.0
Q13115	P61244	2.0
Q13115	Q15672	2.0
Q13115	P48436	4.0
Q13115	Q99583	3.0
Q13115	Q9Y5W3	inf
Q13115	Q06330	3.0
Q13115	Q99717	3.0
Q13115	Q13950	2.0
Q13115	P05412	2.0
Q13115	O15525	3.0
Q13115	O14770	inf
Q13115	P08151	3.0
Q13115	Q15233	4.0
Q13115	P23511	3.0
Q13115	P21675	3.0
Q13115	P19793	2.0
Q13115	Q13568	3.0
Q13115	P10914	3.0
Q13115	P25490	3.0
Q13115	Q99612	inf
Q13115	P10244	3.0
Q13115	P06401	2.0
Q13115	P49715	2.0
Q13115	P25963	2.0
Q13115	Q01201	3.0
Q13115	O00327	3.0
Q13115	P15172	3.0
Q13115	P98177	2.0
Q13115	P01100	2.0
Q13115	Q00613	2.0
Q13115	O75469	3.0
Q13115	P10071	3.0
Q13115	P10242	2.0
Q13115	Q13562	3.0
Q13115	P18846	3.0
Q13115	O15350	3.0
Q13115	Q15796	2.0
Q13115	P18847	3.0
Q13115	Q99814	4.0
Q13115	P10275	2.0
Q13115	P27540	3.0
Q13115	P16220	2.0
Q13115	Q13127	7.0
Q13115	P19838	3.0
Q13115	O94776	3.0
Q13115	Q08945	3.0
Q13115	P17535	2.0
Q13115	Q15329	4.0
Q13115	Q9UGL1	3.0
Q13115	O43474	3.0
Q13115	Q9UJU2	3.0
Q13115	P15336	2.0
Q13115	P42229	2.0
Q13115	Q5VTD9	4.0
Q13115	P31269	4.0
Q13115	Q15797	2.0
Q13115	O75626	3.0
Q13115	P26367	3.0
Q13115	P15407	2.0
Q13115	P20823	3.0
Q13115	P22736	2.0
Q13115	Q06546	2.0
Q13115	P15923	2.0
Q13115	P52630	3.0
Q13115	P23771	3.0
Q13115	O75461	3.0
Q13115	P10070	3.0
Q13115	Q9UL17	3.0
Q13115	P20226	3.0
Q13115	P04150	2.0
Q13115	O75376	3.0
Q13115	P17676	2.0
Q13115	O94916	3.0
Q13115	Q08050	3.0
Q13115	P36402	3.0
Q13115	Q9UKL0	6.0
Q13115	P67809	2.0
Q13115	P32243	5.0
Q13115	Q02535	3.0
Q13115	Q16656	3.0
Q13115	Q01196	2.0
Q13115	P10276	2.0
Q13115	Q15788	2.0
Q13115	O75030	2.0
Q13115	Q00653	3.0
Q13115	Q12778	3.0
Q13115	Q16254	2.0
Q13115	Q02548	inf
Q13115	Q9BQA5	4.0
Q13115	P35398	2.0
Q13115	P11831	2.0
Q13115	P18146	3.0
Q13115	O14867	inf
Q13115	Q92786	inf
Q13115	Q9NQB0	3.0
Q13115	P84022	2.0
Q13115	Q8TAQ2	2.0
Q13115	P18848	3.0
Q13115	Q14653	2.0
Q13115	Q9UIS9	inf
Q13115	P37231	2.0
Q13115	O00716	3.0
Q13115	Q13761	4.0
Q13115	Q14469	3.0
Q13115	P17861	2.0
Q13115	P49116	4.0
Q13115	O43524	2.0
Q13115	P40763	2.0
Q13115	P42224	2.0
Q13115	Q96AV8	inf
Q13115	P15976	2.0
Q13115	P23246	3.0
Q13115	Q01094	2.0
Q13115	Q06710	3.0
Q13115	P01106	2.0
Q13115	Q9Y6Q9	2.0
Q13115	P17275	2.0
Q13115	Q92985	3.0
Q13115	P48431	3.0
Q13115	Q9UBC3	5.0
Q13115	Q04206	2.0
Q13115	P14859	3.0
Q13115	O60381	2.0
Q13115	Q14526	3.0
Q13115	P11473	3.0
Q13115	P20749	2.0
Q13115	Q92922	4.0
Q13115	P17947	3.0
Q13115	P22415	2.0
Q13115	Q13485	2.0
Q13115	Q9H3D4	3.0
Q13115	Q14209	3.0
Q13115	Q99856	3.0
Q13115	Q04864	2.0
Q13115	Q12772	2.0
Q13115	P55347	inf
Q13115	P04637	2.0
Q13115	Q00978	3.0
Q13115	Q13469	2.0
Q13115	O43889	inf
Q13115	P10827	3.0
Q13115	Q9Y5J3	4.0
Q13115	P14316	3.0
Q13115	P17542	2.0
Q13115	Q15306	5.0
Q13115	P78545	3.0
Q13115	Q9NPC7	4.0
Q13115	P10826	3.0
Q13115	Q9Y5Q3	3.0
Q13115	O95863	2.0
Q13115	O95644	2.0
Q13115	Q13133	3.0
Q13115	Q96RI1	3.0
Q13115	Q03181	3.0
Q13115	P17544	2.0
Q13115	P15408	3.0
Q13115	P15884	3.0
Q13115	Q16621	2.0
Q13115	P14921	2.0
Q13115	P08235	3.0
Q13115	Q13887	3.0
Q13115	P55055	3.0
Q13115	P32519	3.0
Q13115	P19419	2.0
Q13115	P23769	2.0
Q13115	P28324	2.0
Q13115	Q05215	3.0
Q13115	Q92731	3.0
Q13115	P17028	4.0
Q13115	Q14934	2.0
Q13115	P41235	2.0
Q13115	P35869	3.0
Q13115	P24468	3.0
Q13115	P13631	2.0
Q13115	P53567	3.0
Q13115	P28702	3.0
Q13115	Q14186	3.0
Q13115	O00482	4.0
Q13115	P49716	inf
Q13115	Q02080	2.0
Q13115	Q03060	3.0
Q13115	Q16650	4.0
Q13115	Q9ULX9	inf
Q13115	Q05066	5.0
Q13115	P22670	3.0
Q13115	Q92481	inf
Q13115	O00470	inf
Q13115	Q02446	inf
Q13115	Q06413	2.0
Q13115	Q01167	3.0
Q13115	P50539	3.0
Q13115	O60315	3.0
Q13115	P17480	2.0
Q13115	O75364	inf
Q13115	Q99626	2.0
Q13115	Q12837	inf
Q13115	O15266	3.0
Q13115	P10588	3.0
Q13115	P50549	3.0
Q13115	P50458	inf
Q13115	Q9Y261	4.0
Q13115	Q01664	inf
Q13115	Q01860	2.0
Q13115	P48443	3.0
Q13115	P10243	3.0
Q13115	Q13351	3.0
Q13115	P10589	4.0
Q13115	P15036	3.0
Q13115	Q15562	4.0
Q13115	P35680	4.0
Q13115	Q9UH73	inf
Q13115	P55317	3.0
Q13115	P50553	4.0
Q13115	Q15561	4.0
Q13115	Q92908	2.0
Q13115	P40426	inf
Q13115	Q9Y2Y9	inf
Q13115	P56693	2.0
Q13115	P48382	3.0
Q13115	Q70SY1	inf
Q13115	P56270	2.0
Q13115	Q92570	3.0
Q13115	P09629	3.0
Q13115	P09086	inf
Q13115	P28347	4.0
Q13115	P08651	5.0
Q13115	P58012	3.0
Q13115	Q96BA8	inf
Q13115	P37275	4.0
Q13115	Q13952	4.0
Q13115	Q13422	3.0
Q13115	P19544	4.0
Q13115	P05549	3.0
Q13115	Q01892	2.0
Q13115	Q12968	2.0
Q13115	O43623	3.0
Q13115	Q15853	3.0
Q13115	O95625	4.0
Q13115	P52945	2.0
Q13115	Q9UKY1	2.0
Q13115	O14497	3.0
Q13115	Q9H9S0	3.0
Q13115	P57682	4.0
Q13115	Q03014	3.0
Q13115	P11308	4.0
Q13115	P11474	3.0
Q13115	Q12952	5.0
Q13115	Q00577	5.0
Q13115	P43694	2.0
Q13115	P40425	4.0
