phos	tf	splen
P29474	P22670	inf
P29474	Q92481	inf
P29474	O00470	inf
P29474	Q02446	inf
P29474	Q06413	inf
P29474	Q01167	inf
P29474	P50539	inf
P29474	O60315	inf
P29474	P17480	inf
P29474	O75364	inf
P29474	Q99626	inf
P29474	Q12837	inf
P29474	O15266	inf
P29474	P10588	inf
P29474	P50549	inf
P29474	P50458	inf
P29474	Q9Y261	inf
P29474	Q01664	inf
P29474	Q01860	inf
P29474	P48443	inf
P29474	P10243	inf
P29474	Q13351	inf
P29474	P10589	inf
P29474	P15036	inf
P29474	Q15562	inf
P29474	P35680	inf
P29474	Q9UH73	inf
P29474	P55317	inf
P29474	P50553	inf
P29474	Q15561	inf
P29474	Q92908	inf
P29474	P40426	inf
P29474	Q9Y2Y9	inf
P29474	P56693	inf
P29474	P48382	inf
P29474	Q70SY1	inf
P29474	P56270	inf
P29474	Q92570	inf
P29474	P09629	inf
P29474	P09086	inf
P29474	P28347	inf
P29474	P08651	inf
P29474	P58012	inf
P29474	Q96BA8	inf
P29474	P37275	inf
P29474	Q13952	inf
P29474	Q13422	inf
P29474	P19544	inf
P29474	P05549	inf
P29474	Q01892	inf
P29474	Q12968	inf
P29474	O43623	inf
P29474	Q15853	inf
P29474	O95625	inf
P29474	P52945	inf
P29474	Q9UKY1	inf
P29474	O14497	inf
P29474	Q9H9S0	inf
P29474	P57682	inf
P29474	Q03014	inf
P29474	P11308	inf
P29474	P11474	inf
P29474	Q12952	inf
P29474	Q00577	inf
P29474	P43694	inf
P29474	P40425	inf
P29474	P12980	inf
P29474	P20265	inf
P29474	Q9BYV9	inf
Q05586	Q07869	inf
Q05586	Q13330	inf
Q05586	O15516	inf
Q05586	P41182	inf
Q05586	P49711	inf
Q05586	P08047	inf
Q05586	Q9Y618	inf
Q05586	O75444	inf
Q05586	Q03164	inf
Q05586	O60675	inf
Q05586	P35638	inf
Q05586	Q02078	inf
Q05586	P36956	inf
Q05586	Q02447	inf
Q05586	Q16236	inf
Q05586	P25208	inf
Q05586	Q99801	inf
Q05586	P04198	inf
Q05586	Q9UM63	inf
Q05586	Q02962	inf
Q05586	P51692	inf
Q05586	Q16665	inf
