phos	tf	dist
P15498	P31269	2.7810166920973335e-07
P15498	Q13330	0.0
P15498	P08151	1.2221057929769152e-06
P15498	Q00978	6.739075401325025e-07
P15498	O15516	5.034811454374847e-07
P15498	Q13887	6.423967725686892e-07
P15498	Q15233	2.542673684297739e-07
P15498	P84022	3.4906409897703474e-05
P15498	Q8TAQ2	2.3061998126456193e-06
P15498	P23511	2.449044804290457e-07
P15498	P22670	0.0
P15498	P21675	0.0
P15498	Q92481	0.0
P15498	O00470	0.0
P15498	P19793	3.9899427253720066e-05
P15498	Q15797	6.418039329668733e-06
P15498	Q13568	3.4750907533560176e-07
P15498	O75626	7.978264502787442e-06
P15498	P10914	3.996392426742182e-06
P15498	P18848	1.0834810371998028e-06
P15498	Q14653	1.7550160045375366e-05
P15498	Q02446	0.0
P15498	P41182	1.7253857248941584e-05
P15498	P26367	1.8471558038489366e-06
P15498	Q06413	3.3071220265821053e-06
P15498	P15407	6.716796129625833e-07
P15498	P55055	2.033808190411317e-06
P15498	Q13469	2.5318300083624548e-06
P15498	P25490	1.1092829446308984e-06
P15498	Q99612	0.0
P15498	Q01167	1.045358928239625e-06
P15498	P50539	4.046189073760512e-08
P15498	P10244	1.5672868424658363e-06
P15498	O60315	1.037015924306243e-05
P15498	P49711	0.0
P15498	P20823	3.78602930778707e-05
P15498	Q9UIS9	0.0
P15498	P17480	1.1054237612682921e-06
P15498	P37231	3.020042979609315e-05
P15498	P22736	8.089428813064887e-06
P15498	P06401	8.894126598668328e-06
P15498	O75364	0.0
P15498	P08047	1.2253292423328298e-05
P15498	O95644	1.9585078705410695e-05
P15498	Q06546	1.136297493764609e-06
P15498	Q13133	5.926736484400631e-09
P15498	P15923	0.00010464021495187423
P15498	Q99626	8.552818277596964e-07
P15498	Q12837	0.0
P15498	O00716	6.713426652420691e-07
P15498	Q13761	1.0221598192844163e-06
P15498	P52630	1.2648071152346118e-05
P15498	Q14469	3.212410995691489e-06
P15498	Q9Y618	2.998190898183534e-06
P15498	O75444	1.1196996133688174e-06
P15498	P17861	7.428656649122656e-06
P15498	P49715	2.1955553397422673e-06
P15498	P49116	5.311130104872135e-09
P15498	O43524	0.00042607367260540644
P15498	P23771	8.428899151670489e-06
P15498	Q96RI1	1.6783769863464108e-05
P15498	P40763	0.00020100312084696378
P15498	O15266	5.926736484400631e-09
P15498	P32519	3.021331105013369e-08
P15498	P42224	0.00013399190087181963
P15498	Q96AV8	0.0
P15498	Q03164	7.018761911136631e-07
P15498	O75461	0.0
P15498	P25963	4.2553183956027674e-05
P15498	Q01201	1.4821471605874721e-06
P15498	Q05066	2.5022464404826494e-11
P15498	P10070	2.803337436785289e-07
P15498	P10588	3.6856740763387614e-07
P15498	O00327	7.942484018563986e-07
P15498	P50549	5.8919536587150876e-08
P15498	P15172	0.00010333174199056418
P15498	Q9UL17	1.2502021317011023e-07
P15498	P37275	1.618386382230236e-06
P15498	P15976	8.385653275947212e-06
P15498	P98177	1.7125906777082908e-05
P15498	P23246	1.0170920779958157e-06
P15498	Q01094	6.597826858376386e-05
P15498	P01100	1.963865428452675e-06
P15498	P35638	5.664949420146292e-07
P15498	P48382	6.699149714568535e-07
P15498	P50458	0.0
P15498	Q06710	7.0063361737394335e-06
P15498	Q00613	3.116873147409106e-06
P15498	O75469	2.0288647533399407e-06
P15498	P19419	3.5488425233861013e-06
P15498	P10827	6.029635720559704e-06
P15498	Q9Y261	2.1732276451275966e-07
P15498	Q01664	0.0
P15498	P10071	2.8405166787940847e-07
P15498	Q9Y5J3	0.0
P15498	Q02078	3.544013264220982e-06
P15498	P01106	3.534810540088878e-05
P15498	P36956	2.2883742951893475e-06
P15498	P20226	6.557853690100989e-07
P15498	Q02447	1.1054237612682921e-06
P15498	Q01860	8.299218526585378e-06
P15498	P48443	2.8667389795203053e-06
P15498	P04150	1.1985966437663325e-05
P15498	P10243	0.0
P15498	P24468	3.891929915794698e-08
P15498	Q9Y6Q9	5.0499055848874386e-05
P15498	O75376	6.959919190082364e-06
P15498	P17275	9.368204679690444e-06
P15498	Q13351	6.739075401325025e-07
P15498	Q92985	4.319356200225141e-06
P15498	Q16236	1.7643720604300874e-05
P15498	P48431	9.320775264967146e-06
P15498	Q9UBC3	0.0
P15498	P25208	2.449044804290457e-07
P15498	P17676	4.1373103479810304e-05
P15498	P10242	2.2148815919355983e-06
P15498	P14316	3.940920170091817e-06
P15498	P23769	7.475998545238768e-06
P15498	Q03181	2.033808190411317e-06
P15498	P28324	0.0
P15498	Q13562	0.0
P15498	P18846	7.580673217098817e-07
P15498	O15350	8.090364388508199e-05
P15498	O94916	1.1964595218837267e-05
P15498	Q15796	4.844062972370993e-06
P15498	Q04206	3.1692000875179365e-05
P15498	Q08050	2.4761983892054e-06
P15498	Q99801	1.717615685605687e-05
P15498	P10589	4.53960242242919e-08
P15498	P36402	5.202302990350355e-06
P15498	P15036	0.0
P15498	P14859	1.7874363776684117e-06
P15498	Q9UKL0	0.0
P15498	P04198	0.0
P15498	P18847	2.932550305298884e-06
P15498	Q15562	3.9159527025171975e-06
P15498	Q99814	0.0
P15498	P17542	1.9311519703275947e-05
P15498	P10275	3.556319243112196e-05
P15498	P27540	5.230932037570033e-06
P15498	P67809	7.154083908499044e-06
P15498	P13631	3.0385190075440258e-06
P15498	P35680	0.0
P15498	P53567	0.0
P15498	P16220	1.0343015279701724e-05
P15498	Q9UH73	0.0
P15498	P32243	1.0865223724485344e-07
P15498	Q13127	0.0
P15498	O60381	9.043144850111845e-07
P15498	Q14526	2.7796243983615008e-06
P15498	Q92731	7.232394618085447e-06
P15498	P55317	1.45438517263468e-06
P15498	P19838	2.1799027772808195e-05
P15498	Q02535	6.334762214809599e-07
P15498	P50553	7.045279046888118e-08
P15498	Q16656	6.915430339708539e-06
P15498	Q15561	3.9159527025171975e-06
P15498	Q08945	5.926736484400631e-09
P15498	Q01196	7.0157933722761225e-06
P15498	Q92908	7.432627130610027e-07
P15498	P40426	0.0
P15498	Q15306	1.88561731486043e-08
P15498	Q9UM63	2.449044804290457e-07
P15498	Q02962	3.561846722871584e-07
P15498	Q9Y2Y9	0.0
P15498	P28702	1.0125761104540145e-06
P15498	P56693	0.0
P15498	P11473	2.5083121691344636e-07
P15498	P17535	2.337315136793206e-06
P15498	P51692	6.117212650222829e-05
P15498	P20749	8.779833682839645e-07
P15498	P78545	6.061956120612104e-05
P15498	Q70SY1	0.0
P15498	P10276	1.7201302857154814e-05
P15498	Q16665	1.720442002632611e-05
P15498	Q15329	8.122413798061585e-08
P15498	P26358	1.2199520571462481e-05
P15498	P03372	0.000347155526925993
P15498	Q15596	0.0
P15498	O43474	9.759685343682115e-06
P15498	Q9UGL1	2.1888643500080397e-07
P15498	Q01543	1.9701166288725703e-06
P15498	Q15788	1.1054237612682921e-06
P15498	P61244	5.664949420146292e-07
P15498	Q15672	1.0104175456190148e-05
P15498	P10826	3.0385190075440258e-06
P15498	Q92922	8.533816721938775e-06
P15498	P56270	6.529561644172582e-07
P15498	P17947	1.119540441054394e-05
P15498	O75030	1.2257691660896986e-06
P15498	P48436	1.20583971129531e-07
P15498	P22415	2.304525580395664e-06
P15498	Q14186	0.0
P15498	Q13485	6.332915878028159e-06
P15498	Q9H3D4	4.361228105752608e-06
P15498	Q14934	1.328069836257405e-06
P15498	Q99583	4.046189073760512e-08
P15498	Q00653	7.673836311558879e-07
P15498	Q12778	4.463597646337289e-05
P15498	Q02548	0.0
P15498	Q16254	3.562572223802868e-06
P15498	Q9Y5W3	0.0
P15498	Q9BQA5	1.4734271989229168e-07
P15498	P09629	0.0
P15498	Q9UJU2	5.288820379953189e-06
P15498	P09086	0.0
P15498	P35398	4.5839433333543443e-07
P15498	P28347	3.9159527025171975e-06
P15498	P08651	9.087115020324683e-08
P15498	P58012	4.448885037382525e-08
P15498	Q06330	5.8189944616055835e-06
P15498	Q14209	4.6615678257324555e-07
P15498	Q99856	2.449044804290457e-07
P15498	Q04864	3.8188859264693935e-09
P15498	Q99717	8.143819306078976e-07
P15498	Q96BA8	0.0
P15498	P15336	1.075094883921809e-05
P15498	Q9Y5Q3	1.0170920779958157e-06
P15498	P15884	6.5141136230949405e-06
P15498	P41235	2.1498530268352245e-06
P15498	P42229	8.65620176617834e-05
P15498	P11831	4.555072105206218e-05
P15498	Q07869	3.139231951679609e-06
P15498	Q13950	1.1621214362804201e-05
P15498	O95863	6.856467862749306e-05
P15498	P18146	1.0163677998025092e-05
