gs_mouse	weeks	tissue	excelcol	excelrow	raw	up_mouse	up_human	expmean	expsd	zscore	zmean	tiss	gen	pval_t	pval_w	fc_med	fc_mean	fc_mean_lo	fc_mean_hi	fc_med_lo	fc_med_hi	medco	meanco	medtr	meantr	meantr_lo	meantr_hi	medtr_lo	medtr_hi	mean_out_ci	med_out_ci
Actr2	4w	TG BAT	S	4	2.32044846264591	P61161	P61160	2.549415300421876	0.6823513945091906	-0.3355556090577928	-0.4874691514413305	BAT	TG	0.723724970042208	1.0	-1.053112132465347	-1.0552630232857767	-1.5270228851945216	1.3451309671284897	-1.6234939938843749	1.3840445337235907	2.44369242877297	2.339296565040788	2.32044846264591	2.2167900451556717	1.5319328791479074	3.1466602509336683	1.505205709400986	3.3821791481449544	False	False
Actr2b	4w	TG BAT	S	4	1.93748371623274	P61161	P61160	1.5339240696427507	0.8081407115532094	0.4993680442287905	0.697644035351272	BAT	TG	0.525513019222331	0.7619047619047619	-1.1125699600859231	-1.087620934303669	-1.3997985096527958	1.2856114697192822	-1.4324152851402203	1.3018784354132962	2.34731253115284	2.281522681891052	2.1098111717590853	2.0977186167823803	1.62989363551827	2.9331517282638337	1.6387094968223963	3.0559155654832835	False	False
Adam10	4w	TG BAT	U	89	1.26021120530454	O35598	O14672	1.3242234084557565	0.5436652302963406	-0.11774194777239025	-0.5821523216387241	BAT	TG	0.6753786217810034	0.7301587301587302	1.3105452655044976	-1.1848808730477824	-3.801496695882992	1.7369457137545334	0.701979611631961	3.4245427978673084	0.728820735877033	1.1940369599490277	0.9551525648051497	1.00772743244449	0.31409654025009826	2.073977379647957	0.5116172971202796	2.495877801984045	False	False
Adam10	5w	TG BAT	R	4	0.647345405930579	O35598	O14672	1.007890760171317	0.3254169209089582	-1.1079490065656654	0.6016836295403064	BAT	TG	0.4555365598366744	0.5358197358197359	-1.1517907036744284	-1.11114968935256	-1.4764719024091866	1.3227097661877063	-1.7715830336401277	1.4355330904556765	1.31640293497693	1.3374784298165452	1.1429185274523899	1.2036887942576495	0.9058610784493474	1.769095781183743	0.7430658964215046	1.8897399735323552	False	False
Adam17	4w	TG BAT	U	87	0.6593647910601179	Q9Z0F8	P78536	1.152329415602531	0.4240409771439162	-1.1625400636106558	0.4352030188924309	BAT	TG	0.9196904667778096	1.0	1.0579765716453036	1.0347831196896495	-1.6396672911028392	1.3901201753391077	-3.3526831274822464	1.701731430625546	1.0898160082471977	1.29193577238737	1.15299980412954	1.3368733289896595	0.7879255623367439	1.7959459824379964	0.3250578616612698	1.8545741548331247	False	False
Adam17	5w	TG BAT	R	4	1.1011668751288501	Q9Z0F8	P78536	1.0769819393860356	0.6766197064634307	0.03574376494179372	0.9831633009244012	BAT	TG	0.11774809612298152	0.16491841491841494	-1.2491544306355782	-1.236324051707653	-1.4427685984412653	1.3068881585859455	-1.9514374605899527	1.4875572391145535	2.05165953629485	2.15393563587751	1.6424386656907999	1.7422096034631214	1.4929182948704134	2.8149529768846064	1.051358077175888	3.0519609954138125	False	False
Adam19	5w	TG BAT	R	4	0.8615570994065799	O35674	Q9H013	0.7272111125942217	0.2599908286364605	0.5167335613988576	-0.7893903469293106	BAT	TG	0.8251223642073662	0.6282051282051282	-1.1236493255199853	-1.0432643748063053	-1.6819835748412468	1.4054638731567968	-2.514520878352684	1.6023099236880782	0.534197394686214	0.5445598647839547	0.475412909128928	0.5219768621784472	0.32376051284291085	0.7653592167249985	0.21244500265839034	0.8559497867140375	False	False
Adiponectin	4w	TG BAT	S	4	1.38883538985797	Q60994	Q15848	0.8395840954814369	0.2585323270445336	2.1244975460338527	0.7400581937473485	BAT	TG	0.2217363673871064	0.6904761904761905	1.2242092503534845	1.2854204674721363	-1.7472012064895517	1.4276560728748673	-2.7865600773338826	1.6411345988431811	0.766753308151718	0.8020045491314383	0.938666492578469	1.0309130624593132	0.4590224332221088	1.1449866650407676	0.2751612335181842	1.2583453827852518	False	False
Adiponectin	5w	TG BAT	R	4	0.8257560186103241	Q60994	Q15848	0.8480664265515777	0.3397506481066244	-0.0656670062752964	-0.19573927288414952	BAT	TG	0.32619850835407826	0.5062633332925431	-1.0521806869245325	-1.057197769552706	-1.093536247449949	1.0855355711052734	-1.1143190115770578	1.1025909191078649	0.8170323098401641	0.8262675925271376	0.7765133118231865	0.7815638817292685	0.7555923221145495	0.8969428629397256	0.7332122142328396	0.9008524054474882	False	False
Alk7	4w	TG BAT	S	4	1.59380055964524	Q8K348	Q8NER5	0.7962473421276896	0.6019937582378373	1.3248529683300319	1.016530537931401	BAT	TG	0.22119348929044466	0.42063492063492064	1.112560692910095	1.17289288975106	-1.4281231122270817	1.2997802560309009	-1.4105999746551952	1.2910817964218109	1.26367182349455	1.200614645485169	1.4059115995580602	1.408192381020544	0.8406940796671756	1.5605352113031623	0.895839959024131	1.6315036879649691	False	False
Alpha1ar	4w	TG BAT	U	87	3.4957637128336203	P97718	P35348	1.087708976347424	1.1418199920122087	2.108961791991857	1.4059105338630065	BAT	TG	0.9527870552319218	0.5555555555555556	-1.074336039875064	-1.0081918189109134	-1.2371060250062609	1.1916618464493056	-1.2751421049905685	1.2157736803715722	2.65163340085804	2.7150663461662883	2.468160149562145	2.693005730892762	2.194691717027688	3.235440975304888	2.0794807029587132	3.2237860987573663	False	False
Alpha2ar	4w	TG BAT	U	89	0.22492272625031304	Q01338	P08913	0.8182404190451608	0.4988779057956	-1.1893044087583655	-1.165294527259587	BAT	TG	0.5192378491004158	0.7619047619047619	1.1962325396059843	1.1140495037435387	-1.284156350580727	1.2212786242518088	-2.554428346438066	1.6085229787735422	0.191769214154322	0.21264829332517726	0.2294005740660685	0.23690072565082426	0.16559377152868696	0.25970281512166765	0.07507324072007264	0.3084651875885714	False	False
Alpha2ar	5w	TG BAT	R	4	0.102989277364452	Q01338	P08913	0.6456670755945398	0.5228492193737343	-1.03792408618321	-0.8511742718716706	BAT	TG	0.5782235511060881	0.494230227976358	1.0781296229067163	1.130760901142344	-1.5301913453279885	1.346486958606046	-2.443624815265411	1.5907718755543139	0.1822819783110035	0.17743032306188136	0.1965236005391325	0.20063127199543015	0.11595303005968192	0.2389076160640808	0.07459491210446118	0.28996904451754585	False	False
Ang1	4w	TG BAT	S	4	1.9718260362828002	P21570	P03950	1.0796190179491745	0.6323574710011941	1.4109219219328886	1.6181254095631672	BAT	TG	0.001474053225439626	0.015873015873015872	1.190055934954727	1.2221404769206246	-1.1098718881283045	1.0989951086278913	-1.1333001993262346	1.1176212616970187	1.76626077489537	1.7206309335255616	2.1019491178419702	2.1028527097033103	1.550296887352689	1.8909649796984351	1.5585109540662223	1.974010595724517	False	False
Ang1	5w	TG BAT	R	4	1.2140180004848502	P21570	P03950	0.9935858140818536	0.662379205923878	0.33278850608774824	0.44574285146090253	BAT	TG	0.013411235225204687	0.03787409700722394	-1.2431547043947102	-1.3132611533437784	-1.1749447237768438	1.1488961312277624	-1.3747011165329281	1.2725691512333568	1.496434109967945	1.6925790530237328	1.20373924876595	1.2888366100787714	1.4405605802313497	1.9445975258161163	1.0885523347373387	1.904315885198552	False	False
