phos	tf	dist
O15530	P21675	0.001953661915680744
O15530	Q02080	0.0003004975010462048
O15530	O95644	0.0003449253652319723
O15530	P42224	0.0
O15530	P25963	0.0
O15530	P19419	0.00022619196353176332
O15530	P36402	0.00037925632839072376
O15530	P16220	0.015629295961320747
O15530	P19838	0.0
O15530	O75030	0.00048201283623376353
O15530	Q12778	0.005230168970834271
O15530	Q9UJU2	0.00027417517540692616
O15530	P15336	0.0
O15530	P11831	9.48140423508176e-05
O15530	Q03060	0.015625240645660347
O15530	P05412	0.0005448205605665875
O15530	Q16650	0.0
P06730	P21675	0.0
P06730	Q02080	0.0
P06730	O95644	0.0
P06730	P42224	0.0
P06730	P25963	0.0
P06730	P19419	0.0
P06730	P36402	0.0
P06730	P16220	0.0
P06730	P19838	0.0
P06730	O75030	0.0
P06730	Q12778	0.0
P06730	Q9UJU2	0.0
P06730	P15336	0.0
P06730	P11831	0.0
P06730	Q03060	0.0
P06730	P05412	0.0
P06730	Q16650	0.0
P23443	P21675	0.004585953877369563
P23443	Q02080	0.0
P23443	O95644	0.0
P23443	P42224	0.0
P23443	P25963	0.0
P23443	P19419	0.0004585953871409099
P23443	P36402	0.0005732442339261373
P23443	P16220	0.03668763102690379
P23443	P19838	0.0
P23443	O75030	0.0001289799451828003
P23443	Q12778	0.0
P23443	Q9UJU2	0.00025795990427335107
P23443	P15336	0.0
P23443	P11831	0.0001433110574881236
P23443	Q03060	0.125
P23443	P05412	0.0004585953871409099
P23443	Q16650	0.0
Q13322	P21675	0.0
Q13322	Q02080	0.0
Q13322	O95644	0.0
Q13322	P42224	0.0
Q13322	P25963	0.0
Q13322	P19419	0.0
Q13322	P36402	0.0
Q13322	P16220	0.0
Q13322	P19838	0.0
Q13322	O75030	0.0
Q13322	Q12778	0.0
Q13322	Q9UJU2	0.0
Q13322	P15336	0.0
Q13322	P11831	0.0
Q13322	Q03060	0.0
Q13322	P05412	0.0
Q13322	Q16650	0.0
O14733	P21675	0.0029481592471042382
O14733	Q02080	3.5132012249510964e-05
O14733	O95644	1.4662833728833202e-08
O14733	P42224	0.0
O14733	P25963	0.0
O14733	P19419	0.031544815987035214
O14733	P36402	0.0003685253160971984
O14733	P16220	0.023585274773915265
O14733	P19838	0.0
O14733	O75030	8.293483829337869e-05
O14733	Q12778	2.0305418257029848e-08
O14733	Q9UJU2	0.0001658406667305718
O14733	P15336	0.03125
O14733	P11831	9.213125672400898e-05
O14733	Q03060	3.045812738554477e-08
O14733	P05412	0.04716983056892437
O14733	Q16650	0.0
P42224	P21675	0.0
P42224	Q02080	0.0
P42224	O95644	0.0
P42224	P42224	0.5
P42224	P25963	0.0
P42224	P19419	0.0
P42224	P36402	0.0
P42224	P16220	0.0
P42224	P19838	0.0
P42224	O75030	0.0
P42224	Q12778	0.0
P42224	Q9UJU2	0.0
