phos	tf	dist
P15498	P31269	6.224968414224897e-07
P15498	Q13330	0.0
P15498	P08151	1.3760374163518988e-06
P15498	Q00978	1.3782159715485686e-06
P15498	O15516	5.07316270597665e-10
P15498	Q13887	2.628021483485728e-07
P15498	Q15233	0.0
P15498	P84022	2.3742474322699757e-05
P15498	Q8TAQ2	4.162012095971761e-06
P15498	P23511	0.0
P15498	P22670	0.0
P15498	P21675	0.0
P15498	Q92481	0.0
P15498	O00470	0.0
P15498	P19793	3.4065687668638626e-05
P15498	Q15797	7.84806114583714e-06
P15498	Q13568	3.7754655517678654e-08
P15498	O75626	2.636694700756188e-09
P15498	P10914	0.0
P15498	P18848	2.455374704667189e-07
P15498	Q14653	3.295922423873224e-05
P15498	Q02446	0.0
P15498	P41182	8.03423172728488e-07
P15498	P26367	1.4838725940423199e-06
P15498	Q06413	3.618815566155628e-06
P15498	P55055	1.7316416345175677e-06
P15498	Q13469	2.497927365880488e-06
P15498	P25490	8.918529745127383e-08
P15498	Q01167	1.0206071537037057e-06
P15498	P50539	4.254500281942038e-08
P15498	P10244	1.975525226967296e-07
P15498	O60315	3.8991171329494777e-07
P15498	P20823	4.3656065964445396e-05
P15498	P17480	5.013982557657401e-07
P15498	P37231	3.9703768225834295e-05
P15498	P22736	1.3913062129832856e-06
P15498	P06401	9.668583068939263e-07
P15498	O75364	0.0
P15498	P08047	7.616967659749437e-06
P15498	O95644	1.9662204574924715e-05
P15498	Q13133	4.791320514739278e-09
P15498	P15923	0.0001267274911857427
P15498	Q99626	7.88404944191359e-07
P15498	Q12837	0.0
P15498	O00716	7.751647024155653e-08
P15498	Q13761	3.821636214170464e-07
P15498	P52630	1.9603979205094564e-05
P15498	Q14469	1.1953947782574569e-06
P15498	Q9Y618	3.21534007327082e-06
P15498	O75444	8.244272541032986e-07
P15498	P49715	1.7795302066019033e-06
P15498	P49116	5.417082790587224e-09
P15498	O43524	8.778073099249935e-06
P15498	P23771	5.112554231728405e-06
P15498	Q96RI1	1.722575077311802e-05
P15498	P40763	0.0002012285887750247
P15498	O15266	4.791320514739278e-09
P15498	P32519	4.3769878302990695e-08
P15498	P42224	0.00011486722486689768
P15498	Q03164	2.3098121596773045e-06
P15498	P25963	3.584862018994797e-06
P15498	Q01201	1.5604613601861966e-06
P15498	Q05066	3.199310195169127e-11
P15498	P10070	2.0864508990775277e-07
P15498	P10588	5.4301383645317666e-08
P15498	O00327	2.0850076470325515e-07
P15498	P50549	9.157320617271564e-08
P15498	P15172	0.00016426596731665042
P15498	P37275	4.162012095971761e-06
P15498	P15976	4.490275094087435e-07
P15498	P98177	7.548176072987589e-06
P15498	P23246	8.244272541032986e-07
P15498	Q01094	4.5224145785063064e-05
P15498	P01100	6.779500214914205e-07
P15498	P35638	5.956437420093687e-07
P15498	P48382	7.319676952911726e-07
P15498	P50458	0.0
P15498	Q06710	1.0181999827339046e-05
P15498	Q00613	2.3037112413144865e-06
P15498	O75469	0.0
P15498	P19419	3.2974944212626676e-06
P15498	P10827	2.9169718150712733e-06
P15498	Q9Y261	2.460075444000028e-08
P15498	Q01664	0.0
P15498	P10071	9.326111227341895e-09
P15498	Q9Y5J3	0.0
P15498	Q02078	2.8233169110001014e-06
P15498	P01106	3.4828410516561234e-05
P15498	P36956	1.5622816394641527e-06
P15498	P20226	0.0
P15498	Q02447	5.013982557657401e-07
P15498	Q01860	8.331028170552645e-07
P15498	P48443	3.8254167703168843e-07
P15498	P04150	1.7960723440284594e-05
P15498	P10243	0.0
P15498	P24468	2.8407798774891e-08
P15498	Q9Y6Q9	8.689882639085358e-05
P15498	O75376	6.823651147384495e-08
P15498	P17275	1.555559469664877e-06
P15498	Q13351	1.3782159715485686e-06
P15498	Q92985	2.466767970381728e-08
P15498	Q16236	1.7216794992479564e-05
P15498	P48431	2.57587286921838e-06
P15498	P25208	0.0
P15498	P17676	9.346007645657641e-05
P15498	P10242	5.531205542029809e-07
P15498	P14316	2.8716692908973255e-05
P15498	P23769	6.590889329684744e-07
P15498	Q03181	1.7316416345175677e-06
P15498	P28324	0.0
P15498	P18846	4.4821521750079096e-07
P15498	O15350	9.730843399505221e-05
P15498	O94916	1.2375592905658492e-05
P15498	Q15796	3.4852143740038285e-06
P15498	Q04206	5.771814120221443e-05
P15498	Q08050	1.3540124654842825e-06
P15498	Q99801	1.711455851687013e-05
P15498	P10589	3.313557311679335e-08
P15498	P36402	2.57587286921838e-06
P15498	P15036	0.0
P15498	P14859	7.760260999688818e-08
P15498	Q9UKL0	0.0
P15498	Q15562	6.249592161546864e-06
P15498	P17542	7.038962693080327e-06
P15498	P10275	6.129145142134115e-05
P15498	P27540	4.791320514739278e-09
