phos	tf	dist
O15530	P31269	0.0
O15530	Q13330	0.0
O15530	P08151	0.0
O15530	O15516	0.0
O15530	Q15233	0.0
O15530	P84022	0.0009686808953520219
O15530	Q8TAQ2	1.3359996851496003e-05
O15530	P23511	1.3929263294686826e-05
O15530	P21675	0.0
O15530	Q13568	1.3929263294686826e-05
O15530	O75626	0.0002670069133251924
O15530	P10914	2.7025371302732517e-06
O15530	P18848	5.216401082781379e-05
O15530	Q14653	0.0
O15530	P41182	0.0001114365171040992
O15530	P26367	0.0
O15530	P15407	6.652224574567949e-05
O15530	P25490	1.2099945454346917e-05
O15530	Q99612	0.0
O15530	P10244	8.03736667631727e-05
O15530	P49711	0.0
O15530	P20823	3.9819493480430957e-05
O15530	Q9UIS9	0.0
O15530	P37231	0.00024061890197805895
O15530	P22736	0.0
O15530	P06401	3.9077116803412854e-05
O15530	P08047	0.0007096090403110417
O15530	Q06546	0.009200094370861733
O15530	P15923	7.21002887001319e-06
O15530	O00716	1.2099945454346917e-05
O15530	Q13761	0.0
O15530	P52630	0.0
O15530	Q14469	1.4404981657013223e-07
O15530	Q9Y618	0.00015495571493098163
O15530	O75444	0.0
O15530	P17861	2.8634919610060906e-05
O15530	P49715	8.565027401290015e-06
O15530	O43524	0.0024764036270833903
O15530	P23771	5.200233910893857e-05
O15530	P40763	0.0036573288253510952
O15530	P42224	4.582065072242022e-05
O15530	Q96AV8	0.0
O15530	Q03164	0.0
O15530	O75461	0.0
O15530	P25963	2.9559594794474225e-05
O15530	Q01201	4.02298032022302e-05
O15530	O00327	1.1709500560154531e-07
O15530	P15172	7.441870043090794e-05
O15530	Q9UL17	1.3570042815630216e-05
O15530	P15976	4.396532235431361e-05
O15530	P98177	0.0010350484389539281
O15530	P23246	0.0
O15530	Q01094	0.000316110824849355
O15530	P01100	5.512999206134613e-05
O15530	P35638	5.427546349399107e-05
O15530	Q06710	1.4404981657013223e-07
O15530	Q00613	5.48055638579298e-05
O15530	O75469	0.00015490797931174395
O15530	P10071	5.48055638579298e-05
O15530	Q02078	0.0
O15530	P01106	0.0002385756557845714
O15530	P36956	1.3570042815630216e-05
O15530	P20226	4.65444805840297e-05
O15530	Q02447	0.0
O15530	P04150	0.0006786481174053573
O15530	Q9Y6Q9	2.087552224219363e-06
O15530	O75376	4.773561923768204e-08
O15530	P17275	0.00025307765003050565
O15530	Q92985	0.0
O15530	Q16236	0.0061133847252405615
O15530	P48431	2.0788908471331994e-05
O15530	Q9UBC3	0.0
O15530	P25208	1.3929263294686826e-05
O15530	P17676	0.0031250943708617317
O15530	P10242	8.10691237366471e-05
O15530	Q13562	0.0
O15530	P18846	0.0
O15530	O15350	0.00015193371802039933
O15530	O94916	3.0678243554474264e-05
O15530	Q15796	3.695247005351819e-05
O15530	Q04206	0.00012433311976481034
O15530	Q08050	1.2429046585291446e-06
O15530	Q99801	7.692128908916819e-06
O15530	P14859	4.837837183124284e-07
O15530	Q9UKL0	0.0
O15530	P04198	0.0
O15530	P18847	1.6912854929354558e-05
O15530	Q99814	0.0
O15530	P10275	0.00029241555046978843
O15530	P27540	0.0007010927735049661
O15530	P67809	0.0009686808953520219
O15530	P16220	0.0011965170356068454
O15530	P32243	0.0
O15530	O60381	0.0
O15530	Q14526	2.8154825238387366e-05
O15530	P19838	0.0009814765596491558
O15530	Q02535	1.603770704437396e-05
O15530	Q16656	0.0009686808953520219
O15530	Q08945	0.0
O15530	Q01196	1.8264136568189374e-05
O15530	Q9UM63	1.3929263294686826e-05
O15530	Q02962	1.2974954406626156e-08
O15530	P11473	1.3929263294686826e-05
O15530	P17535	9.691901808658491e-06
O15530	P51692	3.425872265588491e-07
O15530	P20749	0.0
O15530	P10276	2.783888753174923e-05
O15530	Q16665	0.0032034059968282518
O15530	Q15329	0.0
O15530	P26358	4.613637073702923e-05
O15530	P03372	0.0006496718951174308
O15530	Q15596	0.0
O15530	O43474	0.0004079856293422495
O15530	Q9UGL1	2.6556673328381784e-05
O15530	Q01543	0.0
O15530	Q15788	0.0
O15530	Q15672	0.0
O15530	Q92922	0.0009686808953520219
O15530	P17947	0.00029336531708614285
O15530	O75030	0.0
O15530	P48436	1.2974954406626156e-08
O15530	P22415	5.427546349399107e-05
O15530	Q13485	0.0
O15530	Q9H3D4	0.00018718550387557094
O15530	Q00653	0.00021794422566230026
O15530	Q12778	0.0018946496634098544
O15530	Q02548	0.0
O15530	Q16254	0.0004017531315133111
O15530	Q9Y5W3	0.0
O15530	Q9BQA5	0.0
O15530	Q9UJU2	4.952033191065159e-07
O15530	P35398	0.0
O15530	Q06330	1.417009949732664e-08
O15530	Q14209	1.2099945454346917e-05
O15530	Q99856	1.3929263294686826e-05
O15530	Q04864	0.0
O15530	P15336	6.677616940990215e-06
O15530	P42229	7.455259194600944e-05
O15530	P11831	0.0
O15530	Q07869	0.0
O15530	Q13950	0.0004017531315133111
