phos	tf	dist
O15530	P31269	0.0
O15530	Q13330	0.0
O15530	P08151	0.0
O15530	O15516	0.0
O15530	Q15233	0.0
O15530	P84022	0.0014884893612205894
O15530	Q8TAQ2	3.63694020785985e-06
O15530	P23511	2.8770625615824342e-06
O15530	P21675	0.0
O15530	Q13568	2.8770625615824342e-06
O15530	O75626	9.660493158716803e-05
O15530	P10914	9.76635436571753e-08
O15530	P18848	3.6940222108396735e-06
O15530	Q14653	0.0
O15530	P41182	4.567661105462473e-05
O15530	P26367	0.0
O15530	P15407	4.721882598209821e-05
O15530	P25490	1.3357406908724107e-06
O15530	Q99612	0.0
O15530	P10244	1.807911852256075e-05
O15530	P49711	0.0
O15530	P20823	1.531511889484862e-05
O15530	Q9UIS9	0.0
O15530	P37231	0.00011166569531028605
O15530	P22736	0.0
O15530	P06401	7.802944466602241e-06
O15530	P08047	0.00016852592726527006
O15530	Q06546	0.007448020505607425
O15530	P15923	7.942997968797753e-07
O15530	O00716	1.3357406908724107e-06
O15530	Q13761	0.0
O15530	P52630	0.0
O15530	Q14469	8.232705919800046e-09
O15530	Q9Y618	8.679289672607437e-05
O15530	O75444	0.0
O15530	P17861	4.037669272346605e-06
O15530	P49715	2.8782511289949395e-06
O15530	O43524	0.002064194997275269
O15530	P23771	1.1658796210859664e-05
O15530	P40763	0.0024369259010704834
O15530	P42224	2.9304831636356865e-06
O15530	Q96AV8	0.0
O15530	Q03164	0.0
O15530	O75461	0.0
O15530	P25963	3.037146045870921e-06
O15530	Q01201	1.529269360775828e-05
O15530	O00327	2.077166474951605e-09
O15530	P15172	1.6052055947087872e-05
O15530	Q9UL17	1.7928215136771239e-06
O15530	P15976	8.162744795296477e-06
O15530	P98177	0.0015012287691542217
O15530	P23246	0.0
O15530	Q01094	0.0001456968700691044
O15530	P01100	2.9611594524365006e-06
O15530	P35638	2.861049824298019e-06
O15530	Q06710	8.232705919800046e-09
O15530	Q00613	4.6526634264892264e-05
O15530	O75469	8.678976843672911e-05
O15530	P10071	4.6526634264892264e-05
O15530	Q02078	0.0
O15530	P01106	8.38875960003781e-05
O15530	P36956	1.7928215136771239e-06
O15530	P20226	8.190892436634798e-06
O15530	Q02447	0.0
O15530	P04150	0.00016358061566166943
O15530	Q9Y6Q9	2.1846212392973172e-07
O15530	O75376	3.1282893452545694e-09
O15530	P17275	9.372786902558559e-05
O15530	Q92985	0.0
O15530	Q16236	0.005223235361503036
O15530	P48431	3.997214176208374e-06
O15530	Q9UBC3	0.0
O15530	P25208	2.8770625615824342e-06
O15530	P17676	0.0022396871722740927
O15530	P10242	4.6117363148134664e-05
O15530	Q13562	0.0
O15530	P18846	0.0
O15530	O15350	1.603586078890699e-05
O15530	O94916	1.1525909462236721e-06
O15530	Q15796	3.108042115809081e-05
O15530	Q04206	1.3631219582380526e-05
O15530	Q08050	1.519517535350342e-07
O15530	Q99801	1.620989627331037e-06
O15530	P14859	2.2983023112448318e-08
O15530	Q9UKL0	0.0
O15530	P04198	0.0
O15530	P18847	3.2108074176020616e-06
O15530	Q99814	0.0
O15530	P10275	0.00011022864645269551
O15530	P27540	0.00020166856901622653
O15530	P67809	0.0014884893612205894
O15530	P16220	0.0016033057713357407
O15530	P32243	0.0
O15530	O60381	0.0
O15530	Q14526	5.181766062715989e-06
O15530	P19838	0.00036042007361189845
O15530	Q02535	3.177210615922838e-06
O15530	Q16656	0.0014884893612205894
O15530	Q08945	0.0
O15530	Q01196	1.932383812461925e-06
O15530	Q9UM63	2.8770625615824342e-06
O15530	Q02962	4.3324861651896806e-10
O15530	P11473	2.8770625615824342e-06
O15530	P17535	2.8607299876700346e-07
O15530	P51692	4.0618076368755844e-09
O15530	P20749	0.0
O15530	P10276	3.972633778294695e-06
O15530	Q16665	0.0022749551685147537
O15530	Q15329	0.0
O15530	P26358	1.2482876706548575e-05
O15530	P03372	0.00016685069120795805
O15530	Q15596	0.0
O15530	O43474	0.0001805176374623147
O15530	Q9UGL1	2.7541708480410997e-06
O15530	Q01543	0.0
O15530	Q15788	0.0
O15530	Q15672	0.0
O15530	Q92922	0.0014884893612205894
O15530	P17947	9.795313257992648e-05
O15530	O75030	0.0
O15530	P48436	4.3324861651896806e-10
O15530	P22415	2.861049824298019e-06
O15530	Q13485	0.0
O15530	Q9H3D4	0.00011532847973836083
O15530	Q00653	0.00018606116645699294
O15530	Q12778	0.0019093758912217269
O15530	Q02548	0.0
O15530	Q16254	0.00015997763675155673
O15530	Q9Y5W3	0.0
O15530	Q9BQA5	0.0
O15530	Q9UJU2	2.0347305371075335e-08
O15530	P35398	0.0
O15530	Q06330	5.21319557025538e-10
O15530	Q14209	1.3357406908724107e-06
O15530	Q99856	2.8770625615824342e-06
O15530	Q04864	0.0
O15530	P15336	1.3350145625356245e-06
O15530	P42229	3.3843963004863184e-05
O15530	P11831	0.0
O15530	Q07869	0.0
