gs_mouse	weeks	tissue	excelcol	excelrow	raw	up_mouse	up_human
Betaact	4w	WT BAT	P	4	37.9770785829805	P60710	P60709
Betaact	4w	WT BAT	P	6	45.0345672733303	P60710	P60709
Betaact	4w	WT BAT	P	8	64.8059881012143	P60710	P60709
Betaact	4w	WT BAT	P	10	33.0018417035926	P60710	P60709
Betaact	4w	WT BAT	P	12	52.3356066137816	P60710	P60709
Betaact	4w	WT BAT	P	14	68.2109184764938	P60710	P60709
Betaact	4w	WT BAT	P	87	42.915905475595	P60710	P60709
Betaact	4w	WT BAT	P	89	48.4353297641418	P60710	P60709
Betaact	4w	WT BAT	P	91	45.2439452217519	P60710	P60709
Betaact	4w	WT BAT	P	93	45.3503560005114	P60710	P60709
Betaact	4w	WT BAT	P	95	44.7005329878191	P60710	P60709
Betaact	4w	WT BAT	P	97	56.6983613576844	P60710	P60709
Betaact	4w	WT SCW	R	4	40.3002947446304	P60710	P60709
Betaact	4w	WT SCW	R	6	120.719709570044	P60710	P60709
Betaact	4w	WT SCW	R	8	76.4834327475434	P60710	P60709
Betaact	4w	WT SCW	R	10	70.2887836479298	P60710	P60709
Betaact	4w	WT SCW	R	12	43.9873773259324	P60710	P60709
Betaact	4w	WT SCW	R	14	60.5201154651626	P60710	P60709
Betaact	4w	WT SCW	R	87	61.4584656753273	P60710	P60709
Betaact	4w	WT SCW	R	89	75.4358172467615	P60710	P60709
Betaact	4w	WT SCW	R	91	60.678574412884	P60710	P60709
Betaact	4w	WT SCW	R	93	80.9261334134605	P60710	P60709
Betaact	4w	WT SCW	R	95	58.3271029775107	P60710	P60709
Betaact	4w	WT SCW	R	97	72.6107446052377	P60710	P60709
Betaact	4w	TG BAT	S	4	61.448467440179	P60710	P60709
Betaact	4w	TG BAT	S	6	46.0782249277847	P60710	P60709
Betaact	4w	TG BAT	S	8	66.0681555730635	P60710	P60709
Betaact	4w	TG BAT	S	10	50.6078767439366	P60710	P60709
Betaact	4w	TG BAT	S	12	26.1428534337199	P60710	P60709
Betaact	4w	WT gWAT	S	87	0.0219119627470465	P60710	P60709
Betaact	4w	WT gWAT	S	89	118.688845250429	P60710	P60709
Betaact	4w	WT gWAT	S	91	141.307338653937	P60710	P60709
Betaact	4w	WT gWAT	S	93	138.450802560432	P60710	P60709
Betaact	4w	WT gWAT	S	95	111.013931449052	P60710	P60709
Betaact	4w	WT gWAT	S	97	94.7172059666451	P60710	P60709
Betaact	4w	TG ScW	T	4	51.7809218194184	P60710	P60709
Betaact	4w	TG ScW	T	6	110.411528463156	P60710	P60709
Betaact	4w	TG ScW	T	8	83.1793103781994	P60710	P60709
Betaact	4w	TG ScW	T	10	62.310940835237	P60710	P60709
Betaact	4w	TG ScW	T	12	64.4245039427839	P60710	P60709
Betaact	4w	WT SKM	T	87	0.161658175899176	P60710	P60709
Betaact	4w	WT SKM	T	89	0.230003814702227	P60710	P60709
Betaact	4w	WT SKM	T	91	0.168989259731026	P60710	P60709
Betaact	4w	WT SKM	T	93	0.217291334852314	P60710	P60709
Betaact	4w	WT SKM	T	95	0.210329158372173	P60710	P60709
Betaact	4w	WT SKM	T	97	0.17290393264003	P60710	P60709
Betaact	4w	TG BAT	U	87	50.7829013383143	P60710	P60709
Betaact	4w	TG BAT	U	89	41.0444488978137	P60710	P60709
Betaact	4w	TG BAT	U	91	72.0182410682855	P60710	P60709
Betaact	4w	TG BAT	U	93	60.0325237809024	P60710	P60709
Betaact	4w	TG BAT	U	95	47.2209601258619	P60710	P60709
Betaact	4w	TG ScW	V	87	69.9312815142411	P60710	P60709
Betaact	4w	TG ScW	V	89	60.7036739457062	P60710	P60709
Betaact	4w	TG ScW	V	91	62.3485751206037	P60710	P60709
Betaact	4w	TG ScW	V	93	65.8011602298274	P60710	P60709
Betaact	4w	TG ScW	V	95	56.0026832855709	P60710	P60709
Betaact	4w	TG gWAT	W	87	133.936115903692	P60710	P60709
