phos	tf	dist
O15530	P31269	0.0
O15530	Q13330	0.0
O15530	P08151	0.0
O15530	O15516	0.0
O15530	Q15233	0.0
O15530	P84022	0.001142970824432725
O15530	Q8TAQ2	1.645104310661649e-06
O15530	P23511	1.1252403355961741e-06
O15530	P21675	0.0
O15530	Q13568	1.1252403355961741e-06
O15530	O75626	4.483552881318102e-05
O15530	P10914	2.1059066950295384e-08
O15530	P18848	1.1865099132670892e-06
O15530	Q14653	0.0
O15530	P41182	2.4478687827427344e-05
O15530	P26367	0.0
O15530	P15407	2.8790513164485467e-05
O15530	P25490	4.7182080552055676e-07
O15530	Q99612	0.0
O15530	P10244	7.014713270731524e-06
O15530	P49711	0.0
O15530	P20823	7.353579606111453e-06
O15530	Q9UIS9	0.0
O15530	P37231	6.077519865287597e-05
O15530	P22736	0.0
O15530	P06401	3.0058160122559206e-06
O15530	P08047	6.56564333883084e-05
O15530	Q06546	0.004524140701056666
O15530	P15923	2.3563484659764085e-07
O15530	O00716	4.7182080552055676e-07
O15530	Q13761	0.0
O15530	P52630	0.0
O15530	Q14469	2.01276551794873e-09
O15530	Q9Y618	4.966482549114722e-05
O15530	O75444	0.0
O15530	P17861	1.2746865135377187e-06
O15530	P49715	1.3431140531122013e-06
O15530	O43524	0.0014142007381997917
O15530	P23771	4.761399876069496e-06
O15530	P40763	0.0014205844306795657
O15530	P42224	7.897393661276496e-07
O15530	Q96AV8	0.0
O15530	Q03164	0.0
O15530	O75461	0.0
O15530	P25963	8.851464714226498e-07
O15530	Q01201	7.339173241994991e-06
O15530	O00327	4.2046408710481475e-10
O15530	P15172	6.045347730159873e-06
O15530	Q9UL17	5.587779031760857e-07
O15530	P15976	2.9975345261788495e-06
O15530	P98177	0.0011483443369030984
O15530	P23246	0.0
O15530	Q01094	8.413122086021931e-05
O15530	P01100	7.821395415829188e-07
O15530	P35638	7.468011035520045e-07
O15530	Q06710	2.01276551794873e-09
O15530	Q00613	2.8576536978854576e-05
O15530	O75469	4.9663942034808154e-05
O15530	P10071	2.8576536978854576e-05
O15530	Q02078	0.0
O15530	P01106	4.392655739783821e-05
O15530	P36956	5.587779031760857e-07
O15530	P20226	3.023892414103476e-06
O15530	Q02447	0.0
O15530	P04150	6.364643862029027e-05
O15530	Q9Y6Q9	6.720629726027e-08
O15530	O75376	8.834563390618572e-10
O15530	P17275	4.3710288477584844e-05
O15530	Q92985	0.0
O15530	Q16236	0.0032071895508236116
O15530	P48431	1.515691212325879e-06
O15530	Q9UBC3	0.0
O15530	P25208	1.1252403355961741e-06
O15530	P17676	0.0013241407010566653
O15530	P10242	2.6294589784047212e-05
O15530	Q13562	0.0
O15530	P18846	0.0
O15530	O15350	6.054693270725025e-06
O15530	O94916	2.804341546470783e-07
O15530	Q15796	1.90713380823265e-05
O15530	Q04206	5.199768119993744e-06
O15530	Q08050	5.412708088124176e-08
O15530	Q99801	6.944392269914918e-07
O15530	P14859	5.3212334311395e-09
O15530	Q9UKL0	0.0
O15530	P04198	0.0
O15530	P18847	1.2376182668118574e-06
O15530	Q99814	0.0
O15530	P10275	5.9027391368712295e-05
O15530	P27540	8.676284458586874e-05
O15530	P67809	0.001142970824432725
O15530	P16220	0.0012042546580318088
O15530	P32243	0.0
O15530	O60381	0.0
O15530	Q14526	2.1409491802218623e-06
O15530	P19838	0.00018294765809353925
O15530	Q02535	1.178174715509656e-06
O15530	Q16656	0.001142970824432725
O15530	Q08945	0.0
O15530	Q01196	6.37109876697231e-07
O15530	Q9UM63	1.1252403355961741e-06
O15530	Q02962	8.564783182934602e-11
O15530	P11473	1.1252403355961741e-06
O15530	P17535	5.974300797207139e-08
O15530	P51692	5.613355528174009e-10
O15530	P20749	0.0
O15530	P10276	1.2554567588873629e-06
O15530	Q16665	0.001344752427418319
O15530	Q15329	0.0
O15530	P26358	5.683812990525975e-06
O15530	P03372	6.591148290345365e-05
O15530	Q15596	0.0
O15530	O43474	9.3374230512393e-05
O15530	Q9UGL1	1.04750840685602e-06
O15530	Q01543	0.0
O15530	Q15788	0.0
O15530	Q15672	0.0
O15530	Q92922	0.001142970824432725
O15530	P17947	4.496302612736134e-05
O15530	O75030	0.0
O15530	P48436	8.564783182934602e-11
O15530	P22415	7.468011035520045e-07
O15530	Q13485	0.0
O15530	Q9H3D4	6.88755147772608e-05
O15530	Q00653	0.00011429708231844687
O15530	Q12778	0.001365758447571063
O15530	Q02548	0.0
O15530	Q16254	7.566518229565954e-05
O15530	Q9Y5W3	0.0
O15530	Q9BQA5	0.0
O15530	Q9UJU2	4.792863065408287e-09
O15530	P35398	0.0
O15530	Q06330	1.1779208435029525e-10
O15530	Q14209	4.7182080552055676e-07
O15530	Q99856	1.1252403355961741e-06
O15530	Q04864	0.0
O15530	P15336	5.61891139667876e-07
O15530	P42229	1.9833592517688683e-05
O15530	P11831	0.0
O15530	Q07869	0.0
