phos	tf	dist
O15530	P31269	0.0
O15530	Q13330	0.0
O15530	P08151	0.0
O15530	O15516	0.0
O15530	Q15233	0.0
O15530	P84022	0.00010714289560595853
O15530	Q8TAQ2	7.89263095046174e-09
O15530	P23511	2.4522020720805997e-09
O15530	P21675	0.0
O15530	Q13568	2.4522020720805997e-09
O15530	O75626	2.2477990788582567e-07
O15530	P10914	1.8974074349786596e-12
O15530	P18848	1.0644150743485465e-09
O15530	Q14653	0.0
O15530	P41182	4.539743122029814e-07
O15530	P26367	0.0
O15530	P15407	6.698668801792987e-07
O15530	P25490	5.615415590688904e-10
O15530	Q99612	0.0
O15530	P10244	1.3171307864410896e-08
O15530	P49711	0.0
O15530	P20823	4.104532237750196e-08
O15530	Q9UIS9	0.0
O15530	P37231	1.0550709482748132e-06
O15530	P22736	0.0
O15530	P06401	8.674583303434098e-09
O15530	P08047	1.0744201930975094e-07
O15530	Q06546	0.00010305474213063179
O15530	P15923	7.415867438747e-11
O15530	O00716	5.615415590688904e-10
O15530	Q13761	0.0
O15530	P52630	0.0
O15530	Q14469	2.5677910476950284e-13
O15530	Q9Y618	1.0034171872418535e-06
O15530	O75444	0.0
O15530	P17861	5.60406402334947e-10
O15530	P49715	6.742308606507512e-09
O15530	O43524	0.00010857199381113345
O15530	P23771	1.679622068425319e-08
O15530	P40763	2.8902601755786942e-05
O15530	P42224	2.8461111528082313e-10
O15530	Q96AV8	0.0
O15530	Q03164	0.0
O15530	O75461	0.0
O15530	P25963	2.638448903365203e-10
O15530	Q01201	4.10113515881861e-08
O15530	O00327	2.8403017992432385e-14
O15530	P15172	7.900506569218339e-09
O15530	Q9UL17	2.286000410844879e-10
O15530	P15976	3.712773437392295e-09
O15530	P98177	0.00010716617684751268
O15530	P23246	0.0
O15530	Q01094	1.8044835394807517e-06
O15530	P01100	5.417730286444771e-10
O15530	P35638	4.967826480684994e-10
O15530	Q06710	2.5677910476950284e-13
O15530	Q00613	6.696431742894496e-07
O15530	O75469	1.0034169060519747e-06
O15530	P10071	6.696431742894496e-07
O15530	Q02078	0.0
O15530	P01106	7.267377908073185e-07
O15530	P36956	2.286000410844879e-10
O15530	P20226	3.830157993048077e-09
O15530	Q02447	0.0
O15530	P04150	9.571343750511263e-08
O15530	Q9Y6Q9	3.476593883122309e-11
O15530	O75376	2.811898785982501e-13
O15530	P17275	2.2232770581374505e-07
O15530	Q92985	0.0
O15530	Q16236	7.50407991414711e-05
O15530	P48431	2.0965917358895195e-09
O15530	Q9UBC3	0.0
O15530	P25208	2.4522020720805997e-09
O15530	P17676	2.8054742130631846e-05
O15530	P10242	4.872677659796557e-07
O15530	Q13562	0.0
O15530	P18846	0.0
O15530	O15350	1.8685623648065843e-08
O15530	O94916	1.310637702254278e-10
O15530	Q15796	4.464399889487086e-07
O15530	Q04206	1.6882354861834493e-08
O15530	Q08050	6.692252951502691e-11
O15530	Q99801	3.043392167541168e-09
O15530	P14859	5.623582680433846e-13
O15530	Q9UKL0	0.0
O15530	P04198	0.0
O15530	P18847	2.573334657402243e-09
O15530	Q99814	0.0
O15530	P10275	1.034753336964077e-06
O15530	P27540	5.733354713672588e-07
O15530	P67809	0.00010714289560595853
O15530	P16220	0.00010799495812532789
O15530	P32243	0.0
O15530	O60381	0.0
O15530	Q14526	7.617898669717833e-09
O15530	P19838	2.805856511193316e-06
O15530	Q02535	1.4831734877500747e-09
O15530	Q16656	0.00010714289560595853
O15530	Q08945	0.0
O15530	Q01196	5.839933696021814e-10
O15530	Q9UM63	2.4522020720805997e-09
O15530	Q02962	2.8217484034238453e-15
O15530	P11473	2.4522020720805997e-09
O15530	P17535	9.935652960992689e-12
O15530	P51692	3.1623456559520737e-15
O15530	P20749	0.0
O15530	P10276	5.539618182654364e-10
O15530	Q16665	2.850492176143629e-05
O15530	Q15329	0.0
O15530	P26358	2.8078155239839534e-08
O15530	P03372	1.1633198183574598e-07
O15530	Q15596	0.0
O15530	O43474	1.2257446118657199e-06
O15530	Q9UGL1	3.176202889231275e-09
O15530	Q01543	0.0
O15530	Q15788	0.0
O15530	Q15672	0.0
O15530	Q92922	0.00010714289560595853
O15530	P17947	2.2276640624354912e-07
O15530	O75030	0.0
O15530	P48436	2.8217484034238453e-15
O15530	P22415	4.967826480684994e-10
O15530	Q13485	0.0
O15530	Q9H3D4	1.543126169518173e-06
O15530	Q00653	2.6785723901489627e-06
O15530	Q12778	0.00011037585966571729
O15530	Q02548	0.0
O15530	Q16254	4.007820304375974e-07
O15530	Q9Y5W3	0.0
O15530	Q9BQA5	0.0
O15530	Q9UJU2	5.80292037197229e-13
O15530	P35398	0.0
O15530	Q06330	9.372995952543608e-15
O15530	Q14209	5.615415590688904e-10
O15530	Q99856	2.4522020720805997e-09
O15530	Q04864	0.0
O15530	P15336	2.4226517064349422e-09
O15530	P42229	4.466523087283633e-07
O15530	P11831	0.0
O15530	Q07869	0.0
