phos	tf	dist
P15498	P31269	3.388691313603209e-06
P15498	Q13330	0.0
P15498	P08151	1.7907142855281993e-05
P15498	Q00978	0.0001884358867385828
P15498	O15516	1.7598675805810878e-07
P15498	Q13887	8.114987262295426e-06
P15498	Q15233	1.7773491713940114e-06
P15498	P84022	0.0002877345062339212
P15498	Q8TAQ2	2.7801316772471755e-05
P15498	P23511	1.039178805684248e-06
P15498	P22670	0.0
P15498	P21675	0.0
P15498	Q92481	0.0
P15498	O00470	0.0
P15498	P19793	0.0001710615836493114
P15498	Q15797	0.0001224714569925093
P15498	Q13568	6.25291626779151e-06
P15498	O75626	4.9236713439644914e-05
P15498	P10914	8.835335681026097e-05
P15498	P18848	5.427216370062395e-06
P15498	Q14653	5.398272487184273e-05
P15498	Q02446	0.0
P15498	P41182	0.00010498874791157216
P15498	P26367	5.5060208825658905e-06
P15498	Q06413	2.30723451262224e-05
P15498	P15407	6.4681582720501405e-06
P15498	P55055	2.480770461133791e-05
P15498	Q13469	5.781358315195967e-05
P15498	P25490	3.375186104050547e-06
P15498	Q99612	0.0
P15498	Q01167	1.7767316709657086e-06
P15498	P50539	4.904436840840972e-07
P15498	P10244	2.464935441368317e-06
P15498	O60315	3.0544027443438028e-06
P15498	P49711	3.2875567483827576e-07
P15498	P20823	4.740958355421613e-05
P15498	Q9UIS9	0.0
P15498	P17480	8.863753105801332e-05
P15498	P37231	0.00020868837913772973
P15498	P22736	2.222838286373746e-05
P15498	P06401	9.673956618012412e-05
P15498	O75364	0.0
P15498	P08047	0.00011665183884244346
P15498	O95644	0.00024331430658182805
P15498	Q06546	8.867295376103828e-05
P15498	O43889	0.0
P15498	Q13133	2.3842526119803597e-05
P15498	P15923	4.954271024749559e-05
P15498	Q99626	2.1656808007684513e-06
P15498	Q12837	0.0
P15498	O00716	2.6842377857080346e-06
P15498	Q13761	3.951399715512418e-06
P15498	P52630	0.0016614526963519994
P15498	Q14469	7.412286984359551e-06
P15498	Q9Y618	4.765347376438282e-05
P15498	O75444	3.6699415048334525e-06
P15498	P17861	4.311124937459117e-06
P15498	P49715	9.257257322400446e-05
P15498	P49116	2.7765372265962755e-07
P15498	O43524	0.000253632413059988
P15498	P23771	2.5214877815816207e-05
P15498	Q96RI1	1.1709582038496158e-05
P15498	P40763	0.0030740736018140605
P15498	O15266	4.906787456699865e-07
P15498	P32519	2.0355158469581394e-05
P15498	P42224	0.002473224569846026
P15498	Q96AV8	0.0
P15498	Q03164	1.5720933072859898e-06
P15498	P35869	2.7865900368582735e-06
P15498	O75461	0.0
P15498	P25963	0.00020078768162098206
P15498	Q01201	4.458942305533759e-05
P15498	Q05066	6.905300882703289e-08
P15498	P10070	3.716722609106251e-06
P15498	P10588	1.44060930203733e-06
P15498	O00327	3.0748525748624e-05
P15498	P50549	3.2012198262925047e-06
P15498	P15172	9.842218534915023e-05
P15498	Q9UL17	1.1436105265349367e-06
P15498	P37275	2.147056720712147e-06
P15498	P15976	0.0017846768683392284
P15498	P98177	1.7965139690159134e-05
P15498	P23246	7.110087539510359e-06
P15498	Q01094	5.3328961701378114e-05
P15498	P01100	0.0002087923118122371
P15498	P35638	6.831020229834922e-06
P15498	P48382	2.3454848047327396e-05
P15498	P50458	0.0
P15498	Q06710	1.1237036725747575e-05
P15498	Q00613	0.001654273838024716
P15498	O75469	8.323656526928494e-06
P15498	P19419	0.00012734425689563418
P15498	P10827	1.207206182545702e-05
P15498	Q9Y261	1.7356232937485437e-05
P15498	Q01664	0.0
P15498	P10071	3.589802147635955e-06
P15498	Q9Y5J3	2.7866693732670726e-06
P15498	Q02078	5.422172704416017e-05
P15498	P01106	0.0002206468875971091
P15498	P36956	9.729060297505122e-05
P15498	P20226	2.0215437762966055e-06
P15498	Q02447	8.863753105801332e-05
P15498	Q01860	9.22940869021307e-05
