phos	tf	dist
P15498	P31269	6.913111105582152e-07
P15498	Q13330	3.7667731617083855e-05
P15498	P08151	1.0493477740542192e-05
P15498	Q00978	7.783330997516455e-05
P15498	O15516	1.162048333052493e-06
P15498	Q9ULX9	0.0
P15498	Q13887	5.009693727301485e-06
P15498	Q15233	1.3660398781436968e-05
P15498	P84022	0.00017087438950069245
P15498	Q8TAQ2	1.4257897262327755e-05
P15498	P23511	1.2441784812062412e-06
P15498	P22670	3.405612184393666e-06
P15498	P21675	7.261817186289899e-06
P15498	Q92481	0.0
P15498	O00470	0.0
P15498	P19793	0.00012622425137835151
P15498	Q15797	5.5462934400019434e-05
P15498	Q13568	6.19817992195246e-06
P15498	O75626	1.7678880886014064e-05
P15498	P10914	0.00015225139020326713
P15498	P18848	1.3983759905738152e-05
P15498	Q14653	3.2964982233815975e-05
P15498	Q02446	0.0
P15498	P41182	4.146156693756257e-05
P15498	P26367	2.20119822745215e-06
P15498	Q06413	7.549513271391677e-05
P15498	P15407	0.00022818624366285981
P15498	P55055	1.7530523430095013e-05
P15498	Q13469	4.3051220294177036e-05
P15498	P25490	2.1866244703503815e-05
P15498	Q99612	0.0
P15498	Q02080	3.70299341398263e-05
P15498	Q01167	4.0588904559886004e-07
P15498	P50539	2.870089778054922e-07
P15498	P10244	3.3387056613883947e-06
P15498	O60315	1.3620629111056727e-06
P15498	P49711	9.289108631573501e-07
P15498	P20823	3.9348849475365e-05
P15498	O43623	3.8216845936259046e-07
P15498	Q9UIS9	0.0
P15498	P17480	3.3439524477642803e-05
P15498	P37231	0.00012679787218382454
P15498	P22736	5.12970022994501e-05
P15498	P06401	3.731858697928029e-05
P15498	O75364	0.0
P15498	P08047	6.0107557681051945e-05
P15498	O95644	0.00010158104945498944
P15498	Q06546	3.4532008644501274e-05
P15498	O43889	0.0
P15498	Q13133	1.649909667917077e-05
P15498	P15923	7.123738467709687e-05
P15498	Q99626	3.3079470860166415e-05
P15498	Q12837	0.0
