phos	tf	dist
O15530	P31269	0.0
O15530	Q13330	0.0
O15530	P08151	0.0
O15530	O15516	0.0
O15530	Q15233	0.0
O15530	P84022	0.0007500219694460873
O15530	Q8TAQ2	5.646857677265486e-07
O15530	P23511	3.202978329975634e-07
O15530	P21675	0.0
O15530	Q13568	3.202978329975634e-07
O15530	O75626	1.5671832563540827e-05
O15530	P10914	2.898018459438065e-09
O15530	P18848	2.7537523897156744e-07
O15530	Q14653	0.0
O15530	P41182	1.080358472067009e-05
O15530	P26367	0.0
O15530	P15407	1.4113389491126441e-05
O15530	P25490	1.2008198058355767e-07
O15530	Q99612	0.0
O15530	P10244	1.9565161058661345e-06
O15530	P49711	0.0
O15530	P20823	2.663118106212682e-06
O15530	Q9UIS9	0.0
O15530	P37231	2.678728521452434e-05
O15530	P22736	0.0
O15530	P06401	8.646453875254412e-07
O15530	P08047	1.81897983141493e-05
O15530	Q06546	0.0022035902621691636
O15530	P15923	4.6332598356847205e-08
O15530	O00716	1.2008198058355767e-07
O15530	Q13761	0.0
O15530	P52630	0.0
O15530	Q14469	3.1533543004880663e-10
O15530	Q9Y618	2.3024830154762148e-05
O15530	O75444	0.0
O15530	P17861	2.686664350661669e-07
O15530	P49715	4.71381285026665e-07
O15530	O43524	0.000846333883887513
O15530	P23771	1.4652403494484261e-06
O15530	P40763	0.0006652331725168279
O15530	P42224	1.449013026911756e-07
O15530	Q96AV8	0.0
O15530	Q03164	0.0
O15530	O75461	0.0
O15530	P25963	1.7083960114292376e-07
O15530	Q01201	2.658002385383744e-06
O15530	O00327	5.620599103573985e-11
O15530	P15172	1.6070651305189737e-06
O15530	Q9UL17	1.161050926601498e-07
O15530	P15976	7.79983554936938e-07
O15530	P98177	0.0007517672727825145
O15530	P23246	0.0
O15530	Q01094	3.96831350879604e-05
O15530	P01100	1.5230512117058545e-07
O15530	P35638	1.4321187703319755e-07
O15530	Q06710	3.1533543004880663e-10
O15530	Q00613	1.4063183549290063e-05
O15530	O75469	2.30246596564885e-05
O15530	P10071	1.4063183549290063e-05
O15530	Q02078	0.0
O15530	P01106	1.8857636811887872e-05
O15530	P36956	1.161050926601498e-07
O15530	P20226	7.925309078604864e-07
O15530	Q02447	0.0
O15530	P04150	1.7516022026546937e-05
O15530	Q9Y6Q9	1.4124383665232612e-08
O15530	O75376	1.7049827365115532e-10
O15530	P17275	1.5351534730543264e-05
O15530	Q92985	0.0
O15530	Q16236	0.0015776173119554017
O15530	P48431	4.0863399130323875e-07
O15530	Q9UBC3	0.0
O15530	P25208	3.202978329975634e-07
O15530	P17676	0.000628590262169163
O15530	P10242	1.200400525440474e-05
O15530	Q13562	0.0
O15530	P18846	0.0
O15530	O15350	1.768294619680239e-06
O15530	O94916	5.010248268754269e-08
O15530	Q15796	9.379892205375587e-06
O15530	Q04206	1.5415969453373993e-06
O15530	Q08050	1.3909109718762487e-08
O15530	Q99801	2.282118372371226e-07
O15530	P14859	7.861588244985129e-10
O15530	Q9UKL0	0.0
O15530	P04198	0.0
O15530	P18847	3.4761355328586684e-07
O15530	Q99814	0.0
O15530	P10275	2.5864009110037887e-05
O15530	P27540	2.8569629733006898e-05
O15530	P67809	0.0007500219694460873
O15530	P16220	0.0007759105535488698
O15530	P32243	0.0
O15530	O60381	0.0
O15530	Q14526	6.693301348344293e-07
O15530	P19838	7.561483116039569e-05
O15530	Q02535	3.088839965684973e-07
O15530	Q16656	0.0007500219694460873
O15530	Q08945	0.0
O15530	Q01196	1.4966004900330118e-07
O15530	Q9UM63	3.202978329975634e-07
O15530	Q02962	1.0172089790417037e-11
O15530	P11473	3.202978329975634e-07
O15530	P17535	8.592699989871934e-09
O15530	P51692	4.3467639195399435e-11
O15530	P20749	0.0
O15530	P10276	2.648398495847855e-07
O15530	Q16665	0.0006383991250372785
O15530	Q15329	0.0
O15530	P26358	1.9675816679420735e-06
O15530	P03372	1.8538789518671646e-05
O15530	Q15596	0.0
O15530	O43474	3.837619438703177e-05
O15530	Q9UGL1	3.0599066369690634e-07
O15530	Q01543	0.0
O15530	Q15788	0.0
O15530	Q15672	0.0
O15530	Q92922	0.0007500219694460873
O15530	P17947	1.5599671227123197e-05
O15530	O75030	0.0
O15530	P48436	1.0172089790417037e-11
O15530	P22415	1.4321187703319755e-07
O15530	Q13485	0.0
O15530	Q9H3D4	3.323116216715402e-05
O15530	Q00653	5.625164770699695e-05
O15530	Q12778	0.0008442375213867007
O15530	Q02548	0.0
O15530	Q16254	2.6939582657121218e-05
O15530	Q9Y5W3	0.0
O15530	Q9BQA5	0.0
O15530	Q9UJU2	7.316617904157606e-10
O15530	P35398	0.0
O15530	Q06330	1.7049802877677382e-11
O15530	Q14209	1.2008198058355767e-07
O15530	Q99856	3.202978329975634e-07
O15530	Q04864	0.0
O15530	P15336	1.8210482505222763e-07
O15530	P42229	9.520914691664137e-06
O15530	P11831	0.0
